 summons, call	citatio
stick together	cohaero
stick together	cohero
stick together	cohesi
stick together	cohesum
sticky	lentesco
stiffness	molestia
stiffness	rigor
stiffness, hardness, sterness	rigor
stifle	premo
stifle	suffoco
still	adhuc
still	atqui
still	etiam
still	etiamnun
still	etiamnunc
still	placidus
still	silens
still	soporo
still	tamen
stillness	silentium
stimulate	impello
stimulate	instigo
stimulus	fomes
sting	fodio
sting	morsus
sting	punctum
sting	pungo
sting	pupugi
sting	spiculum
stinginess	inhumanitas
stinginess	sordes
stinging	acer
stingy	tenax
stink	feteo
stink	puteo
stinking	foetidus
stipulated	pactus
stir	excito
stir up	concio
stir up	concito
stir up	exagito
stir up	permoveo
stir up	sollicito
stir up	suscito
stitch	consui
stitch	consuo
stitch	consutum
stitch	suo
stitch	vieo
stock	facultas
stock	prosapia
stole	pallium
stolen goods	prenda
stolen property	furta
stolid	stolidus
stomach	venter
stomach	ventris
stone	calculus
stone	calx
stone quarry	lautomiae
stone quarry	lautumiae
stone thrower	ballista
stong, powerful, healthy /able, worthwhile	valens
stool	scamnum
stooping	pronus
stop	confuto
stop	consisto
stop	consto
stop	desino
stop	quiesco
stop	subsisto
store	condo
store	exuo
store	facultas
store	recondo
store	repono
store of cash	crumens
store-room	cella
store-room	thesaurus
storehouse	spensa
storm	oppugno
storm	procella
storm	tempestas
storm, tempest, gale; (milit) charge, onset	procella
storm, weather	tempestas
stormy	tempestuosus
story	fabula
stout	vigoratus
stow	impono
straight	rectus
straight ahead	prorsus
straightforward	directus
strain	intendo
strain	nixor
strain	nixus
strain, effort	nixus
strained	contentus
strained, stretched /eager, zealous	contentus
straining	contentio
strait	angustus
strange	alienigena
strange	alienus
strange	extraneus
strange	extrarius
strange	insolitus
strangeness	novitas
stranger	extraneus
stranger	hospes
stranger	peregrinus
strangle	suffoco
stratagem	ars
strawberries	fraga
strawberries	fragorum
stray	erro
stray	palor
stray off	evagor
straying	erratio
straying	erratus
streak	vena
streak	virga
stream	amnis
stream	fluo
stream	profui
stream	profundo
stream	profusum
stream	vena
stream over	redundo
street	platea
street	via
street	vicus
street, courtyard	platea
strength	lacertus
strength	robur
strength	vis vires
strengthen	augeo
strengthen	corroboro
strengthen	firmo
strengthen	fulcio
strengthen much	conforto
strengthening	firmamentum
stretch	intendo
stretch	tendo
stretch out	extendo
stretch out	pando
stretch out	pertingo
stretch out	protendo
stretched	contentus
stretching	prolix
strew	spargo
strew	sparsi
strew	sparsum
strict	austerus
strict	districtus
strict	intentus
strict, rigid, stern	austerus
strict, severe /hesitating /busy	districtus (f. distringo)
strictness	severitas
strife	altercatio
strife	jurgium
strike	battuo
strike	ferito
strike	Ico
strike	impingo
strike	inflictum
strike	infligo
strike	inflixi
strike	laedo
strike	ledo
strike	offendo
strike	planctum
strike	plango
strike	planxi
strike	pulso
strike a bargain	Ico
strike against	affligo
strike against	incurso
strike down	praemo
strike down	premo
strike down	pressi
strike down	pressum
strike hard	percutio
strike into	incutio
strike together	concutio
strike upon	impello
strike violently	everbero
strike with consternation	percello
strike, hit, hurt, damage, offend, annoy	laedo ledo
striking	conspicuus
striking	offensio
striking	praeclarus
striking, knocking, hitting against, blow	offensio
string	fides
string	funiculus
string	ligamen
string, thread	ligamen
strip	exuo
strip	spolio
strip off	exuo
stripe	virga
stripped	exorbatus
stripping	spoliatio
strive	ambio
strive	contendo
strive	molior
strive	nitor
strive	nixor
strive	tendo
strive after	capto
strive after	expeto
strive after	peto
strive after	studeo
strive for	anhelo
striving	consectatio
striving, pursuit	consectatio
stroke	ictus
stroke	palpo
stroke	plaga
stroke down	demulceo
stroll	spatior
strong	durus
strong	firmus
strong	fortis
strong	infragilis
strong	pollens
strong	potens
strong	valens
strong	validus
strong, brave, powerful, robust, steadfast	fortis
strong, mighty, powerful, exceeding	validus
strong, robust, able	validus
stronghold	arcis
stronghold	arx
strongly	fortiter
strongly	valde
strongly	vehementer
strongly, bravely	fortiter
strongly, powerfully /very, exceedingly	valde
struck	pulsatus
struck senseless	stupidus
structure	aedificium
structure	compages
structure	edificium
struggle	certo
struggle	contendo
struggle	dimico
struggle	molior
struggle	nixor
struggle against	reluctor
struggle alone	molior
stubborn	adamans
stubborn	pertinax
stubborn	pugnax
stubbornly	pertinaciter
stubbornly, obstinately	pertinaciter
stubbornness	pertinacia
stud	bulla
student	alumno
student	discipulus
study	studio
stuff	effercio
stuff	farci
stuff	farcio
stuff	fartum
stuff	refercio
stuffed	effertus
stuffed	refertus
stuffed full	differtus
stuffed full, crammed, jammed	differtus
stuffed, crammed	refertus
stuffed, jammed, crammed	effertus
stuffing	fartim
stuffing, filling	fartim
stumble	offendo
stumbling-block	scandalum
stump	stipes
stunned	attonbitus
stunned	attonitus
stunned	stupefactus
stupid	bardus
stupid	plumbeus
stupid, slow, dull	bardus
stupidly	stolide
stutter	balbutio
stuttering	balbus
stylus	penicullus
subdue	devinco
subdue	domito
subdue	expugno
subdue	opprimo
subdue	subiungo
subject	subdido
subject	subditus
subject	subdo
subject	subpono
subject	summitto
subject	suppono
subject	thema
subject to	subdidi
subject to	subditum
subject to	subdo
subject to tribute	tributarius
subject, topic, theme	thema
subjected	subactus
subjugate	evinco
subjugate	subdo
subjugate	subiungo
sublime	sublimis
sublimity	sublimitas
submission	obsequium
submit	pareo
submit	succedo
submit	summitto
submit to	cedo
submit to	subeo
subordinate	subicio
subordinate	summitto
subscription	subcriptio
subscription, signature / register	subcriptio
subsequent	posterus
subsequent	postremo
subsequent, following, next, future	posterus; postremo
subside	concido
subside	subsido
substance	materia
substance	substantia
substance, essence, means of subsistence	substantia
substitute	imitor
substitute	subpono
substitute	suppono
subtly	callide
subtract	demo
succeeding	successio
succeeding generations	posteritas
succeeding, succession, descent, descendant	successio
success	eventus
success	frux
success	laureola
success	laurus
success	prosperitas
succession	successio
successively	vices
succor	adiuvo
succor	subvenio
succor	suffragium
succulent	esculentus
succulent, delicious, ripe	esculentus
such	talis
such a degree	tam
such a long time	quamdiu
such a point	adeo
such a trifle	tantillum
such an extent	adeo
suck in	combibo
suckle	nutrio
sudden	repens
sudden	repentina
sudden	subitus
sudden passion	impetus
sudden, unexpected	subitus
sudden, unexpected, fresh, recent	repens
suddenly	improviso
suddenly	repente
suddenly	subito
suddenly, unexpectedly	repente
suffer	facio
suffer	laboro
suffer	patior
suffer	perfero
suffer	permitto
suffer	sino
suffer capital punishment	plecto aliquem capite
suffer greatly	condoleo
suffer pain	doleo
suffer with one	compatior
sufferable	patibilis
suffering	dolor
suffering	patientia
suffice	sufficio
sufficiency	sufficientia
sufficient	satis
sufficiently	satis
suffocate	praefoco
suffocate	prefoco
suffocate	suffoco
suggest	adjicio
suggest	censeo
suggest	innui
suggest	innuo
suggest	innutum
suggest	suggero
suggestion	consilium
suit	facio
suit	interpellatio
suitability	opportunitas
suitable	aptus
suitable	competo
suitable	congruus
suitable	decet
suitable	habilis
suitable	opportunus
suitable for receiving	acceptius
suitable time	commodum
suitable time, opportunity, convenience, use	commodum
suitable, appropriate, fitting	aptus
suitably	congrue
suitably	decens
suitably	decenter
suitably	honeste
suited to	consentaneus
suitor	sectator
suitor	sector
sum	ostendo
sum	summa
sum up	consummo
summary	epitoma
summary	epitome
summer	aestas
summer	aestas estas
summer	estas
summer camp	castra aestiva
summing up	consummatio
summit	apex
summit	capitis
summit	caput
summit	culmen
summon	accerso
summon	advoco
summon	appello
summon	arcesso
summon	invito
summon	postulo
summon	voco
summoned	accersitus
summons	citatio
summons	citatus
summons, citation	citatus
sumptuous	opulens
sumptuous food	epulo
sumptuous food, banquet, feast	epulo
sun	Phoebus
sun	sol
sun	sol solis
sun	solis
sunk	seputus
sunset	occasus
superb	eximius
superfluous	exuberans
superfluous	supervacuus
superfluous	susicivus
superfluous, unnecessary	supervacuus
superintendent	curator
superior	excellens
superior	praestans
superior	prestans
superior	supernus
superiority	praestantia
superiority	prestantia
superiority, excellence	praestantia prestantia
supernal	superna
supervision	procuratio
supple	lentus
suppliant	supplex
supplicatingly	suppliciter
supplied	instructus
supplies	copiae
supplies	copie
supplies	penus
supplies	us
supplies	venalia
supplies	victualia
supplies, foodstuffs, provisions	victualia
supplies, troops, forces	copiae  copie
supply	copia
supply	exorno
supply	ministro
supply	orno
supply	paro
supply	praebeo
supply	prebeo
supply	sufficio
supply	suggero
support	alo
support	auxilium
support	defendo
support	faveo
support	firmamentum
support	fotum
support	foveo
support	fovi
support	fulcio
support	patrocinor
support	solacium
support	solor
support	subsidium
support	suffrago
support	suscipio
support aid	suffragium
support life	vivo
support oneself	nitor
supported	subnisus
supported	subnixus
supported by	subnixus
supporter	defensor
supporter	fautor
supporter	fultus
supporter	solator
suppose	puto
suppose	reor
suppose	reputo
suppose	sentio
suppose	suspicor
suppose	volo
suppress	compescor
suppress	conculco
suppress	confuto
suppress	oppressi
suppress	oppressum
suppress	opprimo
supress, keep silent /convict	confuto
sure	certus
surely	nam
suretor	cautor
suretor	promissor
surety	obses
surety	pignus
surety	securitas
surface	superficies
surface, top	superficies
surge	undo
surname	cognomen
surname, family name, nick-name	cognomen
surpass	anticipo
surpass	excello
surpass	praecedo
surpass	praesto
surpass	precedo
surpass	supero
surpass	transcendo
surpass	vici
surpass	victum
surpass	vinco
surplus	cumulus
surprise	admiratio
surrender	dedo
surrender	reddo
surrender	succumbo
surrender	tradidi
surrender	traditum
surrender	trado
surrender /hand over /transmit, teach	trado
surround	amplector
surround	circumvenio
surround	coerceo
surround	contineo
surround	impedio
surround	includo
surround	redimio
surround	vallo
surround, enclose, restrain, confine	coerceo
surrounded	constipatus
surrounding	amplexus
survey	contemplatio
survey	contemplor
survey	lustro
survey	perlustro
survey	pervideo
survey, contemplation	contemplatio
survive	supersto
surviving	superstes
survivor of another's death	superstes
suspected	suspectus
suspend	suspendo
suspension of hostilities	indutiae
sustain	alo
sustain	exhibeo
sustain	sustento
sustain	sustineo
sustain	tolero
sustenance	victus
swaddling clothes	incunabula
swaddling clothes	pannus
swallow	absorbeo
swallow	gluttio
swallow up	voro
swallowed up	epotus
swamp	palus
swampy	paludosus
swampy	paluster
swampy, marshy, boggy	paludosus
swarm out	effervo
swarthy	aquilus
sway	inflecto
swaying	inflexio
swddling clothes / infancy, birthplace / source	incunabula
swear	iuro
swear an oath	iureiuro
sweat	sudo
sweep out	everro
sweepings	purgamentum
sweet	dulce
sweet	dulcis
sweet as honey	mellitus
sweet, pleasant, agreeable	dulcis
sweet-smelling mezereon	casia
sweetheart	deliciae
sweetly	dulcidine
sweetly, pleasantly, charmingly	dulcidine
sweetmeats	cuppedia
sweetness	dulcedo
sweetness, pleasantness, charm	dulcedo
swell	inflo
swell	intumesco
swell	tumeo
swell	tumesco
swell up	intumesco
swell up	tumesco
swell up with anger	tumesco
swell with anger	intumesco
swelling	offa
swelling	tumor
swerve	declino
swift	celer
swift	celox
swift	levis
swift	pennipes
swift	velox
swift	volatilis
swiftly	celeriter
swiftly	velociter
swiftly flying	citivolus
swiftness	celeritas
swim	no
swine	sus
swollen	inflatus
swollen	tumidus
swollen	turgida
sword	chalybs
sword	ensis
sword	ferrum
sword	gladius
sword	mucro
sword's point	mucro
sword-belt	scapulare
sword-fish	xiphias
swordfish	xiphias
sworn	conjuratus
sycamore	sycamorus
sycophancy	adulatio
sycophant	adulator
sycophant	assentator
sycophant	sycophanta
syllable	syllaba
symbol	signum
symbolic	typicus
symmetrical	concinnus
symmetry	concinnitas
sympathetic	lenis
sympathetically	humane
sympathize	misereor
sympathy	consensus
symphony	symphonia
synagogue	synagoga
system	ratio
system, manner, method, procedure, manner	ratio
table	mensa
table	traba
tail	penis
tail of an animal	cauda
tail of comet	crinis
taint	infeci
taint	infectum
taint	inficio
take	accipio
take	capio
take	concipio
take	excipio
take	preoccupo
take	sumo
take a walk	spatior
take advantage of	utor
take after one's father	patrizo
take an oath together	coniuro
take annoyance	moleste
take away	abduco
take away	abrogo
take away	abscido
take away	abstulo
take away	asporto
take away	decerpo
take away	demo
take away	emoveo
take away	ereptum
take away	eripio
take away	eripui
take away	removeo
take away	tollo
take away by force	aufero
take away by stealth	subduco
take back	recipero
take by assault	expugno
take by storm	expugno
take by surprise	opprimo
take captive	captivo
take care of	caveo
take care of	consulo
take care of	procuro
take care that	caveo
take counsel	consulo
take delight	gaudeo
take delight in	delecto
take delight in	gaudeo
take down	depromo
take firmly	comprehendo
take for granted	praesumo
take for granted	presumo
take for granted	sumo
take for oneself	usurpo
take form	concresco
take in	concipio
take in hand	incipio
take into custody	intertio
take lightly	floccipendo
take notice of	animadverto
take one's stand	consisto
take out	amoveo
take out	desumo
take out	excipio
take out	eximo
take pains	operor
take part in	intereo
take place	exsisto
take pleasure in	gaudeo
take possession	habito
take possession	occupo
take precautions	praecaveo
take precautions	praevideo
take prisoner	comprehendo
take refuge	confugo
take refuge	decurro
take refuge in	confugio
take revenge	persecutus
take revenge	persequi
take revenge	persequor
take revenge on	ulciscor
take to oneself	adsumo
take together	comprehendo
take up	ascio
take up	ascisco
take up	sumo
take up	suscipere
take up	suscipio
take up, support, raise /accept /undertake, begin	suscipio
take vengeance for	ulciscor
take vengeance on	ulciscor
take violent action	saevio
take with moderation	moderor
taken	captus
taking	captus
taking away	Ademptio
taking booty	expilatio
taking by force	creptio
taking by force	ereptio
taking by force, seizure	creptio
taking of booty	praedatio
taking of booty	praedatus
tale	fabula
talent	indoles
talent	ingenium
talent	talentum
talented	ingeniosus
talk	fama
talk	sermo
talk about	fari
talk about	fatus
talk about	for
talk to oneself	sermocinare
talk, report, rumor, gossip, tradition	fama
talkative	garrulus
talkative	loquacis
talkative	loquax
talkative, loquacious, garrulous	loquax
talkativeness	garrulitas
tall	procerus
tame	domito
tame	redomo
tank	lacus
taper	candela
taper, candle	candela
tapestry	vestis
tardy	tardus
tarry	demoror
task	negotium
taste	degusto
taste	gusto
taste	sapor
taste beforehand	praelibo
tattered	pannosa
taught	doctus
taught	instructus
taught, instructed, learned, tutored	doctus
taunt	velico
tavern	tabernus
tax	census
tax	miseratio
teach	doceo
teach	doctum
teach	docui
teach	erudio
teach	paecipio
teach	prodoceo
teach	tradidi
teach	traditum
teach	trado
teach, inculcate, indoctrinate	prodoceo
teacher	doctor
teacher	magister
teacher of rhetoric	rhetor
teaching	disciplina
teaching	doctrina
teaching	eruditio
teachings	sensa
tear	fletus
tear	lacerare
tear	lacrima
tear	laniare
tear	scindere
tear	vellere
tear apart	diripio
tear apart	divello
tear away	avello
tear down	deripio
tear down	destruo
tear in pieces	conscindo
tear in pieces	diripio
tear off	avello
tear out	evello
tear to pieces	dilanio
tear to pieces	diripio
tear to pieces	lacero
teardrop	fletus
teardrop	lacrima
tearful	flebilis
tearful	lacrimans
tearful	lacrimosus
tearful, mournful, shedding tears	lacrimosus
tearfully	magno cum fletu
tearfully	multis cum lacrimis
tearing	laceratio
tearing	laniatus
tearing	scissura
tearing apart	discidium
tearless	siccus
tearless	sine lacrimis
tearlessly	sine lacrimis
tears	fletus
tears	lacerat
tears	lacrima
tears	lacrimae
tears	laniat
tears	scissurae
tears	vellit
tears /exudations from some plants	lacrima
tease	fatigare
tease	fatigo
tease	obtundere
tease	vexare
teasel	dipsacus
teases	fatiga
teases	obtundit
teases	vexa
teat	mamilla
teat	mamma
teat	papilla
teat, breast, nipple	papilla
teats	mamillae
teats	mammae
teazel	mammae
technique	ars
tell	dico
tell	fero tuli latum
tell	locutus
tell	loquor
tell	propono
tell someone to do	iubeo
tell someone to do	iussi
tell someone to do	iussum
temerity	audacia
temerity	temeritas
temper	moderor
temper	tempero
temperance	temperantia
temperate	siccus
tempest	procella
tempestuous	procellosus
temple	sedes
temple	templum
Templeuve	Templovium
temporal	terrenus
temporary fortification	castra
temptation	temptatio
temptation	tentatio
ten	decem
tenacious	lentus
tend	excolo
tend towards	specto
tendency	indoles
tender	liceor
tender	tener
tender	tenera
tender	tenerum
tender, delicate, soft, young	tener tenera tenerum
tense	intentus
tent	scaena
tent	scena
tent	tentorium
tenth	decimus
tenure	tenura
tepid	egelidus
tepid	tepidus
terminate	diffinio
termination	terminatio
termination, determination	terminatio
terrible	atrox
terrible, cruel, horror	atrox
terribly	formidilose
terrifically	magnificabiliter
terrified	exterritus
terrify	perterreo
terrify	terreo
terrify	territo
territory	fines
territory	finium
territory	tractus
terror	formidilosus
terror	formido
terror	formidonis
terror	terror
terrorize	concutio
test	experior
test	probatur
test	tento
test	torqueo
test make a trial	periclitor
testament	voluntas
tested	exertus
tested, tried, approved, experienced	exertus
testicle	testis
than	quam
thank	agere
thank	gratia
thanks	gratia
that	ea
that	id
THAT	illiam
THAT	illius
THAT	illum
that	is
that	ista
that	iste
that	istud
that	quae
that	quatenus
that	quatinus
that	que
that	qui
that	quod
that	ut
that ... not, in order that ... not	ne
that /sometimes pejorative	iste ista istud
that is right	sic
that is so	sic
that is to say	scilicet
that not	ne
that remaining	caetera
that which can be imitated	imitabilis
that which is entrusted	commissum
that which is woven	tela
that which spins	turbo
that which will endure	mansurus
that, the former, the famous /he, she, it	ille illa illud
thawed	egelidus
thawed, lukewarm, tepid	egelidus
the ability to walk	gressus
the age of youth (20-40 years)	juventus
the ankle, ankle bone	talus
the aristocratic party	optimates
the back /skin, hide, leather	tergus
the beard on an ear of wheat	arista
the beards	quibus
the beginning	exordium
the beginning (especially of a speech)	exordium
the best people	optimates
the Big Dipper	plaustrum
the chase	venatio
the color of rust	ferrugo
the common good	medium
the common herd	multi
the common people, mob, rabble	vulgus
the common people, the masses, the crowd	plebs plebis
the country, countryside, rural area	rus
the crowd	plebs
the dead	inferi
the dead	silenti
the dead	silenti etc
the desire to fight, pugnacity	pugnacitas
the direction south	cancer
the Earth	orbis terrarum
the elbow /a cubit	cubitum
the enemy	hostes
the enemy	hostes hostium
the enemy	hostium
the eye	lumen
the face	vultus
the fact that	quod
the famous	illa
the famous	ille
the famous	illud
the fates	quas
the first man	prothoplastus
the fist	pugnus
the flea	pulex
the former	illa
the former	ille
the former	illud
the gallows	infelix
the godfather of a man's child	compater
the good fortune	quibus
the gospel	evangelium
the greater	quantum
the greater part	plerusque
the groin	inguen
the harvest, in-bringing, crop	messis
the heel /stone, pebble /lime /goal, aim	calx
the herb fennel	ferula
the herb fennel /a rad to beat children with	ferula
the herb rue	ruta
the herb savory	thymbra
the herb thyme	thymum
the highest part	summa
the highest part /whole, sum	summa
the hoopoe	epopis
the hoopoe	epops
the hoopoe (a bird)	epops
the itch	scabies
the itch, mange, a rash	scabies
the juniper tree	iuniperus
the kingfisher's time	alcedonia
the latter	haec
the latter	hic
the latter	hoc
the laurel, bay tree / triumph, victory, success	laurus
the left hand, left side, left-handed	laevus  levus
the liver	iecur
the lung	pulmo
the main point	firmamentum
the main verb for weaving of cloth	texo
the making	fiendo
the masses	plebs
the middle of	medius
the Milky Way	galactinus
the Milky Way	orbis lacteus
the mob	plebs
the more	quantum
the morrow	crastinus
the north wind	aquilo
the one	alter
the one ... the other	alter ... alter
the only	solus
the other	alter
the other	ceterus
the other one	alter
the other one	altera
the other one	alterum
the other, the rest	ceterus
the others	ceteri
the people	populus
the point of the ear	arista
the point that	quod
the pointed end	cuspis
the poop	puppis
the production of spring	ver
the production of spring	veris
the public eye	medium
the publishing of a book, an announcement	editio
the remaining	ceteri
the remaining, the rest, the others	ceteri
the rest	caetera
the rest	ceteri
the rest	ceterus
the rest, that remaining	caetera
the right hand	dextera
the rising sun	oriens
the rush	iuncus
the same	eadem
the same	idem
the same	idem eadem idem
the sea	profundum
the second	alter
the second	altera
the second	alterum
the second, the other one	alter  altera  alterum
the shoulder	scapulus
the signer of a document	suscriptor
the sooner the better	quantocius
the sooner the better	quantocius quantotius
the sooner the better	quantotius
the spruce tree	picea
the starting-place of a race course	carceres
the state of being mortal	mortalitas
the state of being mortal/ death, a dying	mortalitas
the steep	arduum
the stomach, belly, abdomen	venter
the tail of an animal	cauda
the throat	iugulum  iugulus
the underworld	barathrum
the upper arm /strength	lacertus
the upper class	optimates
the use of something	ususfructus
the very greatest	permaximum
the waiting for, expectation	praestolatio prestolatio
the west	occasus
the whole	cunctus
the whole	universitas
the whole, total, universe, world /university	universitas
the wild grape	labruscum
the word incarnate	Sarcalogos
the work of a hangman	carnificina
the world	orbis terrarum
the world	universum
the world, the Earth	orbis terrarum
the Zodiac	orbis signifer
theater	theatrum
theater space reserved for the Senate	orchestra
theater space reserved for the Senate / senators	orchestra
theater space reserved for the senators	orchestra
theft	furtum
theft, robbery	furtum
their envy and jealousy	quarum
their own	sua
their own	suum
their own	suus
theme	lemma
theme	thema
theme	thema thematis
theme	thematis
theme of discourse	propositum
theme, title, epigram	lemma
then	deinde
then	ergo
then	exinde
then	inde
then	mox
then	tum
then	tunc
then, at that time, next, and then	tunc
thence	exinde
thence	inde
thence, from there, for that reason, thereafter	inde
thence, furthermore	exinde
thence, next/ thereupon, after that	exinde
thenceforth	inde
theologian	theologus
theologians	theologi
theological	theologicus
theology	theologia
theorem	theorema
theory	ratio
there	ibi
there	illic
there, at that place, therein, in that matter	illic
thereafter	deinde
thereafter	inde
therefore	ergo
therefore	ideo
therefore	igitur
therefore	itaque
therefore	proinde
therefore, consequently, for this reason	igitur
therein	illic
therein	inibi
therein, in that place /(time) near at hand	inibi
thereupon	exinde
thereupon	mox
thereupon	tum
Therouanne	Taruennam
THESE	hae
THESE	haec
THESE	has
THESE	he
THESE	hec
THESE	hi
THESE	hos
THESE	illa
thesis	thesis
they say	aiunt
they would cause	illaturos
thick	creber
thick	profundus
thick, frequent, numerous	creber
thicket	lucus
thickness	densitas
thief	ereptor
thief	furs
thief	raptor
thief by night	vispilio
thief, robber	ereptor
thievish	furtificus
thin	exilis
thin	infrequens
thin	levidensis
thin	macer
thin	macilentus
thin	macresco
thin	rarus
thin	tenuis
thin gold leaf	bracteola
thin out	runco
thin rope	funiculus
thin skin	membrana
thin skin, film, parchment, membrane	membrana
thin, lean	macer
thin, slender, meager	exilis
thin, slight, feeble, slim, slender	tenuis
thin, slight, poor	levidensis
thiness, gauntness /poverty barrenness	macies
thing	rei
thing	res
thing, matter, busines, affair	res rei
things dictated	dictata
things dictated, lessons, presents	dictata
things needed	necessarius
think	cogito
think	credo
think	puto
think	reor
think	reputo
think meanly of	contemno
think of	recordor
think out	incogito
think over	pensito
think up	imbibo
thinly	rare
thinly populated	infrequens
thinly, rarely, uncommonly	rare
thinness	ieiunium
thinness	macies
third	tertius
thirst	sitis
thirst, dryness, drought, eager desire	sitis
thirsting for	sitiens
thirsty	siccus
thirteen	tredecim
thirty	riginta
this	ea
THIS	hanc
THIS	hec
THIS	hunc
this	id
this	is
this side	hac
this side, this way, here	hac
this way	hac
this, that /he, she, it	is ea id
this, the latter /he, she, it	hic haec (hec ) hoc
thistle	carduus
thither	illuc
thither, to that place, to that matter	illuc
thong	lorum
thorn-bush	vepres
thorn-bush, briar	vepres
thorny	scrupulosa
thorough	intentus
thorough consideration	cogitatio
thorough, tense, anxious, strict	intentus
thoroughfare	pervium
thoroughly	penitus
THOSE	illa
THOSE	illae ille
THOSE	illas
THOSE	illi
THOSE	illos
THOSE	illud
THOSE	quae
THOSE	qui
those down below	inferi
those down below, the dead	inferi
though	quamquam
though, although	quamquam
thought	cogitatus
thought	mens
thought	mentis
thought	sententia
thoughtful	benevolens
thoughtful	memor
thoughtless	improvidus
thoughtless	incogitatus
thoughtless, inconsiderate / spontaneous	incogitatus
thoughtlessly	inconsiderate
thoughtlessly, without consideration	inconsiderate
thoughtlessness	incogitania
thoughts	sensa
thousand	mille
thousand times	milies
thousand times	millies
thousands	milia
thrash	pecto
thrashing	verbera
thread	ligamen
threaten	comminor
threaten	eminor
threaten	immineo
threaten	impendeo
threats	minae
three	tres
three	tres tria
three	tria
three days' duration	triduanus
three days' duration, lasting three days	triduanus
three times	ter
three times, thrice	ter
thresh	tritico
threshold	limen
threshold	limen limina
threshold	limina
thrice	ter
thrifty	parcus
throat	gutter
throat	iugulum
throat	iugulus
throb	palpito
throb, tremble, shake	palpito
throne	sedes
throne	solium
throng	turma
through	per
through and through	penitus
THROUGH WHICH	quo
through, along	per
through, with, by	per
throughout	per
throughout, during	per
throw	conicio
throw	iacio
throw down	abicio
throw forth	proicio
throw in someone's teeth	obicio
throw in someone's teeth	obieci
throw in someone's teeth	obiectum
throw into confusion	conturbo
throw into disorder	turbo
throw on	inicio
throw on	inieci
throw on	iniectum
throw oneself down	provolvere se
throw out	eicio
throw out	eiectum
throw out	eructo
throw out	everto
throw to the ground	sterno
throw together	coniecto
throw up	eructo
throw up	vomito
thrower	iaculator
thrower, javelin man, spear thrower	iaculator
thrust	ictus
thrust	trudo
thrust away	depulso
thrust back	retrudo
thrust down	detrudo
thrust forward	exertus
thrust forward	exsertus
thrust out	exturbo
thumb	pollex
thumb, big toe	pollex
thunder-struck	attonbitus
thunderstruck	attonitus
thus	ita
thus	sic
thus far	eatenus
tide	aestus
tide	estus
tides	aestus maris
tie	ligo
tie	vinculum
tie up	evincio
tie up	necto
tie up	victum
tie up	vinxi
tight	angustus
tighten	adstringo
till	exaro
till now	adhuc
till then	adhuc
till then, till now, still, even now, besides	adhuc
tiller of fields	agricola
tiller of the soil	colonus
time	aetas
time	hora
time	temporis
time	tempus
time	tractus
time	vicis
time after time	crebro
time, stage, epoch, era	tempus temporis
timid	timidus
tin	album
tin	plumbum
tin	plumbum album
tinder	fomes
tinder	fomitis
tinge	infeci
tinge	infectum
tinge	inficio
tiny	parvulus
tiny	pusillus
tiny	vegrandis
tiny, puny /petty, mean	pusillus
tired	defessus
tissue	tela
title	lemma
title	titulus
to	cupio
to	gratia
to	procul
to	tenus
to	ut
to a certain extent	aliquatenus
to a greater extent	magis
to abuse	abutor
to accompany	comito
to accuse / complain of	criminor
to accuse falsely	calumnior
to accuse, blame, find fault with	accuso
to accustom	assuesco
to accustom oneself	assuesco
to accustom, acclimate, become used to	consuefacio
to accustom, inure, habituate	consuesco
to acquire, gain, get, obtain	acquiro
to act a part	personam gero
to act as a support	furcillo
to act foolishly, play the fool	desipio
to add something	appono
to add together, sum up, make perfect, complete	consummo
to add, to turn towards, move towards, suggest	adjicio
to adhere to, begin to cling to	inhaeresco inheresco
to adhere, stick together	cohaero cohero cohesi cohesum
to adjust, adapt, accommodate oneself	accommodo
to admit, receive	admitto
to adopt the monastic life	converto
to affect, afflict, weaken, sap, exhaust, drain	adficio
to afford	sufficio
to aggravate, exacerbate, irritate, make worse	exulcero
to agree to refer to arbitration	compromitto
to agree, consent /plot, conspire	consentio
to agree, fix, settle, make arrangements	condico
to aid, help, assist	adservio
to all eternity	saecula
to all eternity	saeculorum
to allow, grant, promise /designate	annuo
to allow, permit, let	permitto permissi permissum
to allure, entice, wheedle	lacto
to amend, correct	emendo
to anguish	anxio
to announce officially, pronounce, declare	denuntio
to announce, declare	edico
to announce, report, relate	nuntio
to another place	alio
to answer for, be responsible for	praesto presto
to answer, reply, respond	respondeo respondi responsum
to anticipate, instruct, advise, warn	precipio
to anticipate, take for granted	praesumo presumo
to appear	ebullio
to apply marl to the soil	maro
to apply oneself, concentrate / favor	incumbo
to appoint a person, to add something	appono
to appoint ahead of time	praefinio
to approach, come near	accedo
to approach, submit, etc. etc	succedo
to approach, visit, come to, undertake	adeo
to approve	approbo
to approve fully/ to confirm, prove, establish	comprobo
to arise	consurgo
to arise	proficiscor
to arise in succession	suborior
to arise, come up, rise up, occur	emergo
to arrange, decide, appoint, settle, found	constituo
to arrange, put in order, draw up (troops)	dispono
to arrive, come up, arrive unexpectedly	supervenio
to ascend, go up, climb, to go inland	escendo
to ascend, mount, go up	conscendo
to ask for	erogo
to ask for / to pay out, expend, disburse	erogo
to ask for, beg, request, demand / to sue for	peto
to ask for, look for, demand, desire, miss	requiro
