a body	en kropp
sovereign	suverän
sovereign, quid, pound (£), libra	pund
sovereign, ruler	härskare
sovereignty	suveränitet
soviet	sovjets
Soviets	ryssarna
sow	sugga
sow, so, such, thus	så
sown	sådd
sown	sått
soy-based	soyabaserad
spa	hälsobrunn
spa	kurort
space, aerospace	rymd
space, room, storage	utrymme
spacebar	mellanslagstangenten
spacecraft	rymdskepp
spaced	indelad
spaces	mellanrum
spacing	platsen
spacious, capacious, commodious, roomy	rymlig
spade	spade
spades	spader
Spain	Spanien
spangle	paljett
spangle, glitter, glint, tinsel	glitter
spaniard	spanjor
spanish	spanska
spank	daska till
spanking	dask
spanner, wrench	skiftnyckel
spare	avvara
spare	bespara
spare	skona
spare, conserve, saving, save	spara
spare-part	reservdel
spark	gnista
spark, sparkle	gnistra
sparking plug, spark-plug	tändstift
sparkles	pärlar
sparkling	pärlande
sparrow	sparv
sparrows	sparvar
sparse	tunnsådd
spasm, convulsion	krampryckning
spasm, cramp	kramp
spasmic	spasmiska
spasmodic	krampaktig
spasms	spasmer
spat	spottade
spat	spottat
spat, gaiter	damask
spatter	stänka ned
spawn	fiskrom
spawn	lägga rom
spawn of a fish	rom (fisk-)
speak to, accost, address	tilltala
speak-easy	lönnkrog
speaker, floorleader	talman
speaker, loudspeaker, loudspeaker	högtalare
speaking	talande
speaking of	på tal om
speaks	talar
spear, lance, javelin	spjut
special-characters	specialtecken
specialfunctions	specialfunktioner
specialities	specialitéer
speciality	specialitet
specialize	specialisera
specializing	specialiserad
specially, especially	speciellt
specific	specifik
specific name	artnamn
specifically	definitivt
specification	specifikation
specifications	specifikationer
specify	specifiera
specifying	specifierande
specimen, copy	exemplar
specious	bestickande
specious	skenfager
spectacular	spektakulära
speculate	spekulera
speculation	spekulation
speculative	spekulativ
speech	anföring
speech defect	talfel
speechless	mållös
speed, velocity	hastighet
speed-settings	hastighets-inställningar
speedometer	hastighetsmätare
speeds	farten
speedway	motorcykelbana
spell	stava
spell-checking	rättstavningskontroll
speller	stavningskontroll
spelling	bokstaverande
spelling mistake	rättskrivningsfel
spelling, ortography	rättskrivning
spend	spendera
spend, consume	förbruka
spending	spenderande
spendthrift	slösare
spent	spenderade
spent	uttmattad
sperm	sperma
sphere	rymnd
sphere, circuit, circle	krets
sphere, globe	glob
sphere, orb	sfär
spherical	sfärisk
spider	spindel
spike, bolt	bult
spinach	spenat
spinal column, backbone, spine	ryggrad
spine, thorn	törne
spinning-wheel	spinnrock
spins	snurrar
spinster	ogift kvinna
spire	tornspira
spirit	andemening
spirit, genie, genius, jinn	ande
spirited, brisk, sprightly, spike, point, bobbish	pigg
spiritual	andlig sång
spiritual	själslig
spirituality	andlighet
spirituals	andliga sånger
spit	spotta
spit	stekspett
spite, evils, malignity, evilness	ondska
spiteful	skadeglad
spitefulness, malice	illvilja
spittle, saliva	spott
splash	plask
splash	skvalp
spleen	mjälte
splendid, resplendent, lustrous	glänsande
splendid, sumptuous	praktfull
splendour, magnificence, grandeur	prakt
splinter	spillra
splinters, debris	spillror
split	spjäka
split, cleave	klyva
splitting	delande
splutter, slur	sluddra
spoil, indulge	skämma bort
spoil, prey	rov
spoil, spoil, destroy, demolish	förstöra
spoke	eker
spokesman, mouthpiece	talesman
sponge	snylta
sponge	tvättsvamp
sponge-cake	sockerkaka
spongy, porous	porös
sponsor	sponsor
sponsoring	sponsrar
spontaneous	spontan
spool, bobbin, bobbin, reel	spole
spoon	sked
sport	ståta med
sports, athletics, sport	idrott
sports, games, sport	sport
sportscard	sportkort
sportsman	sportsman
spot, stead	ställe
spot-check	stickprov på
spotless	fläckfritt
spotted	prickig
spotted, blotched, mottled	fläckig
spouse, wife	maka
spout, cheep, beak, lip	pip
spout, waterspout	stupränna
sprain	vricka
sprain	vrickning
spray	strila
spray	stänka
spray, twig, sprig	kvist
spraying	besprutning
spread	breda ut
spread, radiate, shed, cirkulate	sprida
spreadsheet	kalkylblad
spring of steel	fjäder av stål
spring term	vårterminen
spring, elastic, coilspring	resår
spring, feather	fjäder
spring, jump	språng
spring, spring, our	vår
spring-mattress	resårbotten
sprinkle	strö ut
sprinkle	stänka på
sprite, fairy	fe
sprout (to)	spira (att)
sprout, germinate, grow	gro
sprout, shoot on a plant, shot	skott
spruce	göra fin
spun	snurrade
spun	snurrat
spun	spann
spun	spunnit
spur	sporre
spurn	med förakt
spurn	spjärna
spurned	försmådde
spurt	spurt
sputter	spotta fram
spy	spionera
squabble, strife, quarrel	kiv
squad, guard, patrol	patrull
squadron	skvadron
squads	grupper
squall, bawl	skråla
square	fyrkant
square	kvadrat
square measure	ytmått
square, market-place	torg
squash	squash
squash, mash	mosa
squat	huka sig ned
squatter	kolonist
squaw	indiankvinna
squawk	skrika gällt
squeamish	pjoskig
squeeze, cuddle, embrace	krama
squeezing	kramande
squelch, crunch, crush, smash, fracture, quash	krossa
squiffy	lätt berusad
squint	skela
squint	vindögdhet
squinting	vindögd
squire, esquire	väpnare
squire, land-owner, laird, gentleman-farmer	godsägare
squirm	våndas
squirm, writhe	vrida sig
squirrel	ekorre
squirrel fur	gråverk
squirt, spout	spruta ut
squnder	slösa bort
sraight loan	amorteringslån
stab	dolkstöt
stab, shove, butt, impinge, jab, offend, bump	stöta
stability	stabiliteten
stabilize	stabilisera
stable	stabil
stable	stall
stack	stapla
stack, funnel, chimney	skorsten
staff	stab
stag	hjorthane
stage-coach	postdiligens
stage-coach, mail-coach	diligens
stage-fright	rampfeber
stage-management, administration	regi
stagger	ragla
stagger, falter, hobble, totter, stumble	stappla
staggering, stupendous	förbluffande
stagnate	stagnera
stagnate	stocka sig
staid	stadgad
staid, steadfast, firm, steady	stadig
stain	betsa
stain, taint, speck, blur, blot, spot, blemish	fläck
stainless	fläckfri
stair	trappan
staircase	trappuppgång
stairs	trappor
stairs, staircase	trappa
stake	satsa
stake in a game, contribution, stake, achievement	insats
stake, picket	stake
stale	inte färsk
stalemate	patt
stall, box	spilta
stallion	avelshingst
stallion	hingst
stalls	fördröjer
stalls	hindrar
stalls at thr theatre	parkett på teater
stalwart	robust
stalwart, sturdy, forcible, hale, potent, virtuous	kraftig
stamen	blommans ståndare
stammer	stammning
stamp	frankera
stamp	frimärke
stamp	stampa
stamp	stämpla
stampede	panikartad flykt
stanchion, post	stolpe
stand	bestå
stand	stå
stand on ceremony, curl, ripple, crimp, crisp	krusa
stand out against	avteckna sig mot
stand, endure, tolerate, bear, brook	tåla
stand, undercarriage	ställ
stand-alone	fristående
stand-in, stopgap	ersättare
standard	standar
standard, banner	baner
standard, genus, class	klass
standard, normal	normal
standard, rule, norm	norm
standardization	standardisering
standardize	standardisera
standing	står
standstill, stationary, stagnant	stillastående
stank	stinkt
stank	stinkte
staple	märla
staple	stapelvara
star	stjärna
starboard	styrbord
starch	stärkelse
starch the collar	stärka kragen
starfish	sjöstjärna
stark, complete, all-out	fullständig
starlet	ung kvinnlig filmstjärna
starling	stare
starred	stjärnbeströdd
starsprangled banner - the	stjärnbaneret
start for	begiva sig till
start, actuate	sätta i rörelse
start, lead	försprång
start-up, starters, bootup	uppstart
starting, initiates, begins	startar
startle	skrämma upp
startle	spritta
startle, intimidate, frighten, daunt, bulldoze	skrämma
startled	förfärad
startled	uppskrämd
startling, amazing	häpnadsväckande
starvation	svält
starve, famish	svälta
starving	svälter
state	andraga
state	stat
state of emergency	undantagstillstånd
state of war	krigstillstånd
state, order	skick
state-room	lyxhytt
state-room	praktgemak
stated	uppgiven
statement, mission, task, statement, task, chore	uppgift
static	statisk
station	station
stationeer	pappershandlare
stationery	skrivpapper
statistical	statistiskt
statistics	statistik
statistics-function	statistikfunktion
statuary	bildhuggar-
statuary	skulpturer
statue	staty
statuesque	statylik
statuette	statyett
stature	kroppsstorlek
status	status
statute, ordinance, stem, direct, enact	stadga
statutory	lagstadgad
staunch, trustworthy	pålitlig
staunchest	inbitne
stay away	utebli
stay, abode, sojourn	vistelse
staying	stannande
stays, corset	korsett
steady, constant, perpetual	beständig
steal, purloin	stjäla
stealthily, stealthy	smygande
stealthy, stealthily	smyg
steam-boiler, boiler	ångpanna
steam-engine	ångmaskin
steamer	ångbåt
steamship	ångare
steel	stål
steeped	stupade
steeple	spetsigt torn
steeplechase	hinderlöpning
steeplechase	terrängritt
steer	ungtjur
steer, regulate, direct, govern	styra
steerage	mellandäck
steerage	turistklass
stellar	stjärn-
stem	förstäv
stem on a ship	för på fartyg
stem, prow	stäv
stem, stalk	stjälk
stenographer	stenograf
step	trappsteg
step, tread	träda
step-father, stepfather	styvfar
stepbrother	styvbror
stepchild	styvbarn
stepdaughter	styvdotter
stepladder	trappstege
stepmother	styvmor
steppe	stäpp
stepping-stone	språngbräda
stern	akterskepp
stern light	akterlanterna
stern, poop	akter
stevedore	stuveriarbetare
stew	stuvas
stew	stuvning
stew, stow	stuva
stew-pan	stekgryta
steward	steward
stick, cane	käpp
stick, perch, peg	pinne
sticky, gluey, tacky	klibbig
stiff	styv
stiff, tight	stram
stiffen	styvna
stiffen, grow stiff, gel	stelna
stiffly	stelt
stiffness	stelhet
stifling	kvalmig
stile	dörrpost
still	alltjämt
still	fortfarande
still, pacific, quite, halcyon, gentle, calm	stilla
still-born	dödfött
stilt	stylta
stilted	högtravande
stimulate	stimulera
stimulating	upppiggande
stimulus	retning
sting	gadd
sting, bite	bett
stinginess	snålhet
stinging	stingande
stink, reek	stinka
stink, stank, stunk, stench, reek	stank
stipend, salary, wage, wages, reward	lön
stir	omröra
stir, blow, fan	fläkta
stirring, thrilling, exciting	spännande
stirrings	rörelserna
stirrup, footstall	stigbygel
stitch	nålstygn
stitch	stygn
stock	aktier
stock exchange	aktiebörs
stock exchange	fondbörs
stock raising	boskapsskötsel
stock, dynasty, family	ätt
stock-broker	börsmäklare
stock-holder, shareholder	aktieägare
stockade	palissad
stockroom	lagerrum
stocktaking	inventering
stocky, stubby	kort och tjock
stodgy, burly, substantial	bastant
stoke	elda med kol
stole	stola (lång sjal)
stomach pains	magplågor
stomach, belly, bowels, guts, gut, tummy, maw	mage
stomachs	magar
Stone Age (the)	stenåldern
stone, pebble	sten
stone-carved	stenhuggna
stone-cutter	stenhuggare
stones	stenar
stood	stod
stool, footstool	pall
stoop	böja sig
stooping	framåtböjd
stop, upholster, cram	stoppa
stopgap	utfyllnad
stoplight	stoppljus
stoppage	arbetsnedläggelse
stopped	stoppad
stopper, spigot, plug	propp
stopping	fyllning
stops	stoppar
store up	magasinera
store, emporium, department	varuhus
stored	sparad
stores	sparar
storing	sparande
stork	stork
storm	oväder
storm, blow a gale, bluster	storma
stormy, boisterous, blustering, gusty	stormig
story's	berättelsens
story-book	sagobok
storysman	historieberättaren
stout	porter
stout person	tjock person
stout, staunch	ståndaktig
stove	kakelugn
stove, ironstove	kamin
stow, cram, pack	packa
stowaway	fripassagerare
straddle	sitta grensle
straddle	stå bredbent
straddles	skrevar
straggle	sacka efter
straggler	eftersläntare
straight across	tvärs över
straight, direct, on-line, directly, lineal	direkt
straighten	bli rak
straighten	rära
straightforward	rättfram
strain	anspänna
strain	sträckning
strain, voltage, tension	spänning
strained, tense, taut	spänd
strainer	sil
straining	spännare
strait-jacket	tvångströja
straiten	bringa i trångmål
strange, remarkable, corious	märkvärdig
strangely	underligt
stranger, outlander	främling
strangest	konstigast
strangle, garrotte	strypa
strap	slejf
strap	spänna fast
strap, belt	rem
stratagem, ruse, dodge, artifice, knack, gimmick	knep
strategic	strategiskt
strategically	strategiska
strategies	strategier
strategy	strategi
stratigraphic	skicktindelad
straw	halm
straw	halmstrå
straw	strå
strawberry	jordgubbe
strawberry	smultron
stray	gå vilse
stray	kringströvande
stream	fors
stream, run, flow	rinna
stream, rush	forsa
stream, torrent	ström
strech, extend, extending	utsträcka
street, avenue	gata
strength, vigour, power, strengthen, stamina	styrka
strengthen, invigorate, consolidate, starch	stärka
strengthened, fortified, reinforced, amplified	förstärkt
strengthening	förstärkande
strenuous	ansträngande
stress	påfrestning
stretch	tänja
stretch	töja
stretched	ökat
stretcher	sjukbår
stretches, reaches	sträcker
stretching	sträckande
strew	beströ
strew	strö
stricken	drabbad
stricken	slagen
strictly	strikt
stricture	skarp kritik
stride, stalk	kliva
strident, jarring	skärande
strife, dispute, controversy	tvist
strike	strejka
strike-price	lösenpris
striker	strejkande
striking	apart
striking	slående
string	snodd
string, tape, band, tied, bond, bands, bonds	band
string-band	stråkorkester
stringent	bindande
strip, streak, stripe	strimma
stripe, lace, galloon	galon
striped, lined	randig
stripping	avklädning
strive, struggle	streta
strode	klivit
strode, stride	klev
stroke	stryka
stroke of lightning	åsknedslag
stroll, walk, walking	promenad
strop	strigel
strop	strigla
strophe, verse	strof
strove	strävade
struck	träffad
structural	strukturell
structured	strukturerad
strut, prance about	kråma sig
stubble	skäggstubb
stubble	stubb
stubborn, headstrong, tenacious, persistent	envis
stuck-up, conceited	inbilsk
stud	dubb
stud	stuteri
student teacher	auskultant
students	studenter
studied, sophisticated	raffinerad
studio	ateljé
studio	studio
studsa	bounce
study	studera
studying, student	studerande
stuff	material
stuff, material, matter	stoff
stuffiness	instängdhet
stumble	snubbla
stumble, trip	snava
stumblingblock	stötesten
stump, stub	stubbe
stung	stuckit
stunt	konststycke
stunt	reklamtrick
stunt, check	hämma
stupid, dumb, silly, nitwitted, witless, goofy	dum
stupidity, fatuity, folly	dumhet
stupor, apathy	apati
sturgeon	störfisk
stutter	stamning
stutter, stammer, falter	stamma
sty	stia
sty	svinstia
sty, sty	vagel
stylish	chic
stylistic	stilistisk
stylized	stiliserade
suavity, amiability	älskvärdhet
sub-directories, sub-catalogues	under-katalogerna
sub-directory	underkatalog
subaltern, anciliary, sobordinate	underordnad
subconscious	undermedveten
subconsciousness	undermedvetande
subcontractor	underentreprenör
subcontractor	underleverantör
subdirectories, subdir, subdirectory	underbibliotek
subdivision, subsections	underavdelning
subdue, curb, quell	kuva
subdue, subjugate	underkuva
subdue, suppress, quench, quell, repress	undertrycka
subframe	underram
subject	subjekt
subject	undersåte
subject to	underkasta
subject, items, object	föremål
subjunctive	konjunktiv
sublet	hyra ut i andra hand
submarine	undervattensbåt
submarines	u-båtar
submenu	undermeny
submerge	nedsänka
submission, subjection	underkastelse
submissions	hemställningar
submit	framlägga
submit	inkomma
submit	underställa
submit to	foga sig
submit to	underkasta sig
submits	hänskjuter
submitting	framläggandet
suboperation	arbetsmoment
suborder	avrop
subordinate	underordna
subordinate part	biroll
subpoena	kalla inför rätta
subscribe	prenumerera
subscribe for	subskribera
subscribe to	abonnera på
subscribe to, for	prenumerera på
subscriber	abonnent
subscriber	prenumerant
subscription	abonnemang
subscription	prenumeration
subsections, piece, part	stycke
subsequent	påföljande
subservient	tjänlig
subservient, servile	servil
subset	delmängd
subsidary	biträdande
subside	sjunka undan
subsidiary	bi-
subsidiary	hjälp-
subsidiary reason	biorsak
subsidize	subventionera
subsist, support oneself	livnära sig
subsoil water, groundwater	grundvatten
substandard	undermålig
substantiate, endorse, confirm, attested, vouch	bekräfta
substantive, noun	substantiv
substitut	ställföreträdare
substitute	substitut
substitute	surrogat
substitute, deputy	suppleant
subterfuge	svepskäl
subterranean, underground	underjordisk
subtle	hårfin
subtle	subtil
subtly	hårfint
subtotal	delsumma
subtract	subtrahera
subtraction	subtraktion
suburb	förort
suburb	förstad
suburban	förorts
subversion	omstörtning
subversive	omstörtande
subvert	omstörta
subway	underjordisk gång
succeed, follow	efterfölja
succeed, succeed	efterträda
succeeded, succeeds	efterträder
succeeded, success, prosperity	framgång
succeeding, trailing	efterföljande
success	succé
successful	framgångsrik
successful, felicitous	lyckad
successfully	framgångsrikt
successor	avlösare
successor	efterföljare
successor	efterträdare
succinct	kortfattad
succumb	duka under
such	sådan
suck, sip	suga
sucker	parasit
sucker	sugapparat
sucking	sugande
sucking	suger
sucking-child	dibarn
suckle	dia
suction	sugning
sudden	plötslig
suddenly, abrupt	plötsligt
suds	såplödder
sue	lagsöka
sue, prosecute	åtala
sue, stems, tune, voice	stämma
suet, tallow	talg
suffer	lida
suffer from	lida av
suffer, endure	utstå
suffering from	behäftad med
suffers	lider
suffice	förslå
suffice	räcka till
suffice, pass, reach, row, be enough, series	räcka
sufficient	tillräcklig
sufficiently	nog
suffix, termination, ending	ändelse
suffocation	kvävning
suffuse	övergjuta
sugar	socker
sugar-beets	sockerbetor
sugar-candy, candy	kandisocker
suggest	suggerera
suggested	föreslaget
suggestion	inrådan
suicidal	självmordsbenägen
suicide	självmord
suicide	självmördare
suit, fit, look after	passa
suit-case	resväska
suit-case, hold-all, bag, portmanteau	kappsäck
suite	svit
suited	lämpat
suitor	friare
suitor	part i mål
suits you	klär dig
sulky, morose, cross, perverse	vresig
sulky, sullen, moody, glum	trumpen
sullen	butter
sulphate	sulfat
sulphite	sulfit
sulphur, brimstone	svavel
sum, discourse, speeches, speech, number, numbers	tal
summaries	kortfattade
summarize, sum up	sammanfatta
summary	resumé
summary, synops, summing-up, synopsis	sammanfattning
summer	sommar
summit, peak, crest, top	topp
summon to a memeeting	kalla till möte
summon, call out	uppbåda
summon, call up	inkalla
summon, convoke, convene	sammankalla
summons	stämning (lag- )
sunbeam	solstråle
sunburnt	solbränd
sundae	fruktglass
sundae	fruktglass i skål
Sunday	söndag
sundial	solur
sunglasses	solglasögon
sunk	sjunkit
sunk, sank	sjönk
sunken	insjunken
sunlight	solljus
sunlit	solbelyst
sunny	solig
sunrise	soluppgång
sunset	solnedgång
sunshade	parasoll
sunshine	solsken
sunstroke	solstyng
sup	supera
sup	äta kvällsvard
sup, draught, quaff, sip	klunk
superannuated	överårig
superannuated, quaint, old-fashioned	gammalmodig
superb, splendid, excellent	präktig
superficiality, shallowness	ytlighet
superfluous, redundant	överflödig
superhuman	övermänsklig
superintend, monitor	övervaka
superior	överman
superior	överordnad
superior numbers, superiority, predominance	övermakt
superiority, preponderance, supremacy	överlägsenhet
supernatural	övernaturlig
supernumerary	övertalig
supernumerary, mute	statist
superpowers	supermakterna
superscription, signature	påskrift
supersonic	överljuds-
superstition	skrock
superstition	vantro
superstition	vidskepelse
superstitious	skrockful
superstitious	vidskeplig
supervision	uppsikt
supervison	tillsyn
supervisor	uppsyningsman
supervisor	övervakare
supine	liggande på rygg
supine, bovine, dull, indolent, stagnant, drowsy	slö
supper	kvällsmat
supper	supé
supplant, force aside	undantränga
supplementary	tilläggs
supplication	ödmjuk bön
supplied	medskickad
supplier, contractor, delieverer	leverantör
supply, access, asset	tillgång
supply, bring about, effect	förmedla
supply, supplie, furnish, endue, provide	förse
support	medhåll
support	understödja
support, provide for	försörja
support, subsidy, relief	understöd
supporter, adherent, partisan, follower	anhängare
supporting	stödjande
suppose, adopt	anta
suppose, belief, faith, confide, think, believe	tro
supposition, acceptance, premise, assuming	antagande
supposition, presumably	förmodligen
suppuration	varbildning
supranational	överstatlig
supreme	högst
supreme, pre-eminent, superior	överlägsen
surcharge	påtryck
sure, serious, honest	rejäl
surf	bränning
surf, breakers	bränningar
surfeit	övermättnad
surfeit	övermått
surfing	surfa
surge	svalla
surge	svallvåg
surgeon	kirurg
surgery	kirurgi
surgical	kirurgisk
surmount	höja sig över
surmount, overcome, conquer	övervinna
surname	efternamn
surname	tillnamn
surplice	mässkjorta
surplus	överskotts-
surplus, excess, redundancy, residue	överskott
surprise	överraska
surprise	överraskning
surprise, amazement, astonishment	förvåning
surrender	ge sig
surreptitious	smyg-
surround, encompass	omgiva
surround, gird, encircle	omringa
surrounded	omgiven
surrounding	kringliggande
surrounds	omger
surrounds	omringar
surtax	extraskatt
surveillance, monitoring	övervakning
survey	överblick
survey	överblicka
survey, investigation, inquest, examination	undersökning
surveying	undersökande
surveyor	besiktningsman
surveyor	lantmätare
surveys	undersökningar
survival	överlevande
surviving, remaining	kvarvarande
susceptible	mottaglig
suspect	misstänka
suspence, incertitude	ovisshet
suspence, reprieve, respite, delay	uppskov
suspend	hänga upp
suspend	suspendera
suspend, postpone, defer, put off	uppskjuta
suspenders, braces	hängslen
suspension, unloading	avstängning
suspicion, distrust, unbelief	misstro
suspicion, suspicion	misstanke
suspicious	misstänksam
suspiciously	misstänksamt
suède	mockaskinn
swab	skrubba
swab, mop	svabb
swab, scour	skura
swaddle	linda småbarn
swag	bylte
swag	stöldgods
swag, tie, bundle	knyte
swagger cane	officers käpp
swagger, boast, jactation	skryt
swallow	ladusvala
swallow dive	svanhopp
swallow, gulp	svälja
swallow, swallow	svala
swallowing	sväljande
swam	simmade
swan	svan
sward, lawn	gräsmatta
swarm	myller
swarm, cluster	svärm
swarm, rave	svärma
swarm, teem	myllra
swarthy	svartmuskig
swathe, wrap up	insvepa
swear	svära
swearing	svordomar
sweat, perspire	svettas
sweater, jersey	tröja
sweater, jersey	ylletröja
sweaty	svettig
Swede, swede, Swedish	svensk
Sweden	Sverige
Swedish	svenskt
Swedish turnip, swede	kålrot
sweep	sopa
sweep, chimney-sweep	sotare
sweep, wrap	svepa
sweep-back	pilform
sweep-hand	centrumvisare
sweeper	sopare
sweeping, mammoth	kolossal
sweepings	sopor
sweepstake	totalisator
sweet, delicious	ljuv
sweet-chestnut	äkta kastanj
sweet-corn	sockermajs
sweet-pea	luktärt
sweet-potato	sötpotatis
sweet-toothed	svag för sötsaker
sweeten	sockra
sweeten	söta
sweetener	sötningsmedel
sweetening	sötande
sweetheart, fiancé	fästman
sweetie	godis
sweetmeat	godsak
sweetmeat, candy, goody, sweet	karamell
sweetness	sötma
sweets	snask
sweets, sweetstuff, tuck	sötsaker
sweetshop	godisaffär
swell	dyning
swelling	ansvällning
swelling	svällande
swelter	tryckande värme
swelter, be lost, perish	förgås
swept	sopade
swept	sopat
swept	svept
swept	svepte
swere, sheer	gira
swerve	vika av
swifter	bomtåg
swig	stjälpa i sig
swim	simma
swimmer	simmare
swimming	simning
swimming costume, swimsuit	baddräkt
swimming-bladder	simblåsa
swimming-costume	simdräkt
swimming-pool, swimming-bath	simbassäng
swimmingly	lekande lätt
swindle, giddiness	svindel
swindler	svindlare
swine-pox	svinkoppor
swineherd	svinaherde
swing, brandish	svinga
swing, oscillation, rotation	svängning
swing, sway, oscillate, flourish, brandish	svänga
swing-door	svängdörr
swinging, swaying	svängande
swings	svingar
swipe	slå till
swirl	virvla runt
swirl, eddy, whirl	virvla
swish	sus
Swiss	schweizare
Swiss	schweizisk
switch	strömbrytare
switch, bill, gear	växel
switch, osier	vidja
switchback	serpentinväg
switchboard	instrumenttavla
Switzerland	chweitz
swivel	svängtapp
swivel-chair	snurrstol
swiviel-bridge	svängbro
swizz	båg
swizz	hambug
swizz, bluff	bluff
swollen	uppsvälld
swollen, turgid	svullen
swoon, fainting	svimning
swoop	slå ned på
sword	svärd
sword-swallower	svärdslukare
swordmanship	fäktkonst
swot	plugghäst
swot, grind (a hard reading)	plugga
swum	simmat
swung	svängde
sycophant, toady	smickrare
syllabic	stavelsebildande
syllabify	uppdela i stavelser
syllable	stavelse
syllabus	kursplan
sylph	sylfid
sylphlike	gracil
symbolical, nominal, symbolic	symbolisk
symbolize	symbolisera
symbols	symboler
symmetrical, symmetric	symmetrisk
symmetry	symmetri
sympathetic	tilltalande
sympathize	sympatisera
sympathizer	sympatisör
sympathy	medkänsla
symphony	symfoni
synagogue	synagoga
synchronization	synkronisering
synchronize	synkronisera
synchronizes	synkroniserar
synchronous	synkron
syndicate	syndikat
synonymous	synonym
synonymous, tantamount	liktydig
synonyms	synonymer
synopsis	synopsis
syntactic	syntaktisk
synthes, synopsis	syntes
synthesize	framställa på syntetisk väg
synthesizer	synthesizer
synthetic	syntetisk
syphilis	syfilis
Syria	syrien
Syrian	syrisk
syringa	schersmin
syringa, lilac	syren
syringe	injektionsspruta
syringe, spurt, spout	spruta
syrup	sockerlag
syrup, juice, sap	saft
syrup, treacle	sirap
syrupy	sirapsaktig
system	system
system-directory	system-katalog
systematic	systematisk
systematize	systematisera
systemfile	systemfil
systolic	systolisk
tab, etiquette, label	etikett
tabby, she-cat	katta
tabby, spreckled, dapple, speckled	spräcklig
tabernacle	tabernakel
table	bord
table	tabell
table-boarder	matgäst
table-land, tableland	högplatå
table-lifting, table-turning	bordsdans
table-linen	bordslinne
table-manners	bordsskick
table-rapping	bordknackning
table-spoon	matsked
table-talk	bordssamtal
table-tennis	bordtennis
tableau	tablå
tablecloth	bordsduk
tableknife	matkniv
tables	tabeller
tablespoonful	matskedsmått
tablet	skrivblock
tabletop	bordsskiva
tablets	lertavlor
tableware	bordsservis
tabloid	tidning i litet format
tabloid, pill	piller
tabloid, tablemat, tablet	tablett
taboo	tabu
tabular	i tabellform
tabulate	ställa upp i tabellform
tabulation	tabelluppställning
tacit, implicit, implied	underförstådd
tack	tråckla
tack, drawing-pin	häftstift
tack, nail	nubb
tackle	talja
tackle, rig	tackla
tackling, rig	rigg
tact, tactfulness	taktfullhet
tactful	taktfull
tactical	taktisk
tactician	taktiker
tactics, policies	taktik
tactless, indiscreet	taktlös
tadpole	grodyngel
taffeta	taft
taffrail	akterreling
tag-end	sistadel
tail	svans
tail, skirt	skört
tail-end	slutdel
tail-light	baklykta
tail-wind	medvind
tailback	bilkö
tailed	med svans
tailor	skräddare
tailoring	skrädderi
tailpiece	slutstycke
tails	svansar
tailsman, addressee, recipient, receiver	mottagare
tailspin	spinn
taint, infect, contaminate	besmitta
take	ta
take	taga
take	vidtaga
take a bath, batha	bada
take a cast of	avgjuta
take advantage of, exploit, utilising, utilize	utnyttja
take alarm	ana oråd
take an aperient	laxera
take care of	ta vara på
take care of, cherish	vårda
take care of, handle	ta hand om
take care of, look after, nurse, attendance	sköta
take charge of	tillvarata
take in tow	ta på släp
take in, cherish, house	hysa
take over	axla
take over	överta
take pains to, take pains to	vinnlägga sig om
take steps	vidtaga åtgärder
take upon oneself	ikläda sig
take, occupy	intaga
take-away	restaurangtyp
take-home	lön efter skatt
take-off	avstamp
take-off	startplats
take-over	övertagande
taken	taget
taken prisoner	tillfångatagen
takeover	företagsförvärv
taker	tagare
taking, attractive	intagande
takings, gainings	intäkter
talanted, gifted	talangfull
talcum, talc	talk
tale, myth, tradition, legend, story	sägen
talent	anlag (medfött)
talent	begåvning
talent, disposition	fallenhet
talk, confabulation, calls, colloguy, conversation	samtal
talk, speak, chatter	tala
talkative	språksam
talkative	talför
talkative, chatty	pratsam
talked	pratade
talkie	ljudfilm
talking	samtalande
talking film, talkie	talfilm
talking-point	diskussionsämne
talking-to	åhutning
talks	samtalar
tall	högväxt
tall	reslig
tall	storväxt
tall person	lång person
tall story	amsaga
tally	pricka av
tally-ho, yoicks	buss på
tallyman	kontrollräknare
talon	fågelklo
tamable	tämjbar
tame	tämja
tamer	djurtämjare
taming	tämjande
tamp	packa till
tampered	manipulerade
tampering	kladdande
tampers	manipulerar
tampon	tampong
tan	garva
tan	solbränna
tang	stark lukt
tang	stark smak
tangent	perifer
tangibility	påtaglighet
tangible	gripbar
tangle, skein	härva
tank	cistern
tank	vattenbehållare
tanker	tankfartyg
tanned	solbrända
tanner	garvare
tantalize, provoke, ruffle, tease, exasperate	reta
tantamount	likvärdig
tantrum, hump, huff	misshumör
tap, draw	tappa ur
taper	smalna av
taper	smalt ljus
tapered, conical	konisk
tapering	avsmalnande
tapes	bandar
tapestry	vävd tapet
tapeworm	binnikemask
tapping	tappning
tar	tjära
tardy	senfärdig
tardy	senkommen
tariff	tulltaxa
tarmac	asfalterad startbana
tarn, woodland, pool	tjärn
tarnish	göra matt
tarpaulin	presenning
tarry	tjärig
tart	fruktkaka
tartan	rutigt skotskt tyg
tartar	tandsten
task, mission	värv
tast-master	ceremonimästare
taste	avsmaka
taste	smaka
tasted	smakade
tasteful	smakful
tasteless	smaklös
tatter, clout, rag	trasa
tattered	söndertrasad
tattered, torn, broken, ragged, out of order	trasig
tattoo	tapto
tattoo	tatuera
