-a	egy
coincidence	egybeesés
coincidencel	véletlen
coiner	pénzverô
coiner	pénzhamisító
col	hágó
cold	hideg
cold	hûvös
coldness	hidegség
colic	békgörcs
colic	kólika
collaborate	együttmûködik
collaboration	együttmûködés
collapse	összeomlás
collapse	összeomlik
collapsible	összecsukható
collapsible	összehajtható
collar	gallér
collar	hám
collarbone	kulcscsont
collarstud	inggomb
collate	összehasonlít
collateral	járulékos
colleague	kolléga
collect	utánvételezett
collect	gyûjt
collect	összeszed
collect	behajt
collected	higgadt
collectied	fegyelmezett
collection	gyûjtés
collection	gyûjtemény
collective	együttes
collective	közös
collector	gyûjtô
collector	jegyszedô
college	kollégium
college	fôiskola
collide	összeütközik
collide	beleütközik
collie	skót juhászkutya
collier	szénbányász
collier	vájár
colliery	szénbánya
collision	karambol
collision	ütközés
Cologne	Köln
colon	kettôspont
colon	vastagbél
colonist	gyarmatos
colonize	gyarmatosít
colony	gyarmat
color	szín
color	színez
colorful	színes
colorless	színtelen
colour	szín
colour	színez
coloured	színes
colouring	színezô
colourless	színtelen
colourless	fakó
columbia	Kolumbia
column	oszlop
column	rovat
columnist	rovatvezetô
comb	fésû
comb	fésülés
comb	lép
comb	fésül
combat	küzdelem
combat	harc
combatant	küzdô
combatant	szószóló
combinate	kombinál
combination	egyesítés
combination	egyesülés
combination	vegyület
combination	kombináció
combine	összeköt
combine	egyesül
combine	vegyül
combined	egyesített
combustible	éghetô
combustible	gyúlékony
combustion	égés
combustion	tûzvész
come	jön
come	származik
come	válik vmvé
comedian	komikus
comedy	vígjáték
comely	bájos
comet	üstökös
comfort	jólét
comfort	kényelem
comfort	vígasztal
comfortable	kényelmes
comfortable	kellemes
comforter	vígasztaló
comfortless	kényelmetlen
comfortless	sivár
comic	vidám
comic	tréfás
comical	mulatságos
comics	képregény
coming	közelgô
coming	érkezés
comma	vesszô
command	parancs
command	parancsnokság
command	utasítás
command	rendelkezik
commander	parancsnok
commanding	parancsnokló
commandment	parancsolat
commence	kezd
commence	kezdôdik
commencement	kezdet
commend	rábíz
commend	dicsér
commendable	dícséretes
commensurable	arányos
comment	magyarázat
comment	megjegyzés
comment	magyaráz
commentary	fejtegetés
commentary	kommentár
commentator	közvetítô
commerce	kereskedelem
commercial	kereskedelmi
commercial	reklám
commiseration	szánalom
commission	megbízás
commission	bizottság
commission	bizomány
commissioner	meghatalmazott
commit	elkövet
commit	rábíz
commitment	elkötelezettség
commitment	utalás
commodity	árucikk
commodore	sorhajókapitány
common	közönséges
common	átlagos
common	közös
commonly	rendszerint
commonwealth	közjó
commotion	nyugatalanság
communicate	közöl
communicate	érintkezik
communication	közlés
communication	közlemény
communication	összeköttetés
communications	távközlés
communism	kommunizmus
communist	kommunista
community	közösség
commutable	cserélhetô
commutation	felcserélés
commute	átváltoztat (büntetést)
compact	megállapodás
compact	tömött
compact	tömör
compact	púdertartó
compactness	tömörség
companion	társ
companionship	baráti kapcsolat
company	társaság
company	vállalat
company	társulat
company	század
company	csoport
comparable	összehasonlítható
comparative	összehasonlító
comparative	viszonylagos
compare	összehasonlít
compare	versenyez
comparison	összehasonlítás
compartment	szakasz
compartment	fülke
compass	iránytû
compass	terjedelem
compass	körülvesz
compassion	szánalom
compassionate	könyörületes
compatibility	összeegyeztethetôség
compatible	összeegyeztethetô
compatible	összeférhetô
compatriot	honfitárs
compel	kényszerít
compendious	rövid
compensate	pótol
compensate	kompenzál
compensate	ellensúlyoz
compensate	kárpótol
compensation	kártérítés
compete	versenyez
compete	pályázik
competence	alkalmasság
competition	verseny
competitive	versenyképes
competitor	versenyzô
competitor	konkurrens
compilation	összeállítás
compile	összeállít
compile	szerkeszt
compiler	összegyûjtô
compiler	összeállító
complacence	önelégültség
complain	panaszkodik
complainant	panasztevô
complaint	panasz
complaint	reklamáció
complaisance	elôzékenység
complaisance	engedékenység
complaisant	elôzékeny
complaisant	engedékeny
complement	kiegészítés
complement	pótlék
complementary	kiegészítô
complete	teljes
complete	befelyezett
complete	tökéletes
complete	befejez
complete	kiegészít
complete	kitölt
completely	teljesen
completeness	teljesség
completion	befejezés
complex	összetett
complexity	bonyolultság
compliance	engedékenység
compliant	engedékeny
complicate	bonyolít
complicated	bonyolult
complication	bonyodalom
complicity	bûnrészesség
compliment	bók
compliment	dicsér
compliments	üdvözlet
complimentary	hízelgô
comply	teljesít
comply	alkalmazkodik
component	alkotóelem
compose	alkot
composed	komponál
composite	összetett
compound	összetett
compound	keverék
compound	összekever
compound	elegyít
comprehend	megért
comprehend	felfog
comprehend	magában foglal
comprehensible	érthetô
comprehensive	átfogó
compress	borogatás
compress	összeprésel
compression	összeszorítás
compression	sûrítés
compressor	légsûrítô
comprise	tartalmaz
compromise	kiegyezés
compromise	veszélyeztet
compulsion	kényszer
compulsion	erôszak
compulsive	megrögzött
computation	számítás
computation	kalkuláció
compute	számít
computer	számítógép
comrade	elvtárs
comrade	bajtárs
concatenation	összeláncolás
concatenation	összefüggés
concave	homorú
conceal	elrejt
conceal	eltitkol
concealment	rejtekhely
concede	beleegyezik
concede	megad
conceit	önteltség
conceited	beképzelt
conceited	öntelt
conceivable	elképzelhetô
conceive	kigondol
conceive	vélekedik
conceive	teherbe esik
concentrate	sûritmény
concentrate	összpontosít
concentrated	összpontosított
concentration	összpontosítás
concept	fogalom
conception	fogamzás
conception	eszme
conception	elképzelés
concern	kapcsolat
concern	érdekeltség
concern	aggodalom
concern	vállalat
concern	vonatkozik
concerning	vonatkozólag
concert	koncert
concert	egyetértés
concession	engedmény
concession	engedély
conciliate	kibékít
conciliation	kiegyezés
concise	tömör
concise	velôs
conclude	befejez
conclude	következtet
conclude	határoz
conclusion	befejezés
conclusion	elhatározás
conclusion	következtetés
conclusive	meggyôzô
concoct	készít
concoct	kiagyal
concoction	fôzet
concoction	kitervelés
concord	összhang
concordance	egyetértés
concordant	egybehangzó
concrete	szilárd
concrete	beton
concur	egybeesik
concur	egyetért
concurrence	egybeesés
concurrent	egyezô
concussion	megrázkódás
concussion	agyrázkódás
condemn	elítél
condemnation	elítélés
condemnation	elutasítás
condensation	sûrítés
condensation	cseppfolyósítás
condense	sûrít
condense	cseppfolyósít
condensed	sûrített
condescend	leereszkedik
condescend	kiegyenesedik
condescension	leereszkedés
condiment	fûszer
condition	feltétel
condition	állapot
condition	rang
condition	meghatároz
conditional	feltételes
conditional	feltételes mód (nyelvtanban)
condole	részvétet nyilvánít
condolence	részvét
condom	koton
condominium	kondomínium
condominium	öröklakás
conduce	hozzájárul
conduce	elôsegít
conduct	igazgatás
conduct	magaviselet
conduct	vezényel
conduction	(hô)vezetés
conduction	áramvezetés
conductivity	vezetôképesség
conductor	vezetô
conductor	karmester
conduit	vízvezeték
cone	kúp
cone	toboz
confabulation	terefere
confection	csemege
confederacy	konföderáció
confederate	szövetséges
confederate	szövetkezik
confederate	egyesít
confederation	államszövetség
confer	adományoz
conference	értekezlet
conference	tanácskozás
conference	konferencia
confess	bevall
confess	elismer
confess	gyóntat
confession	vallomás
confession	gyónás
confession	hitvallás
confide	rábíz
confide	bizalmasan közöl
confidence	bizalom
confidence	magabiztosság
confident	bizalmas
confidential	bizalmi
confiding	jóhiszemû
configurate	konfigurál
configuration	konfiguráció
configuration	alakzat
configuration	alakítás
confine	bebörtönöz
confine	korlátoz
confinement	fogság
confirm	megerôsít
confirm	érvényesít
confirm	bérmál
confirmation	megerôsítés
confirmation	visszaigazolás
confirmed	megrögzött
confiscate	elkoboz
confiscate	lefoglal
conflict	összeütközés
conflict	viszály
conflict	ellentmondás
conflicting	ellentétes
confluence	összefolyás
conform	hozzáilleszt
conform	alkalmazkodik
conformable	megegyezô
conformable	engedelmes
conformation	alkalmazkodás
conformity	hasonlóság
conformity	beilleszkedés
confound	összezavar
confound	összetéveszt
confound	megzavar
confound	zavarba hoz
confront	szembesít
confront	szembeszáll
confront	összevet
confuse	összezavar
confuse	összetéveszt
confuse	zavarba hoz
confused	zavaros
confused	zavart
confusing	zavaró
confusion	zûrzavar
confusion	rendetlenség
confusion	megdöbbenés
confusion	összevisszaság
confute	meggyôz
confute	cáfol
congeal	megfagy
congeal	megdermed
congenial	rokon lelkû
congenital	veleszületett
congested	zsúfolt
congestion	zsúfoltság
congestion	túlnépesedés
congestion	torlódás
conglomeration	összehalmozás
congratulate	gratulál
congratulation	gratuláció
congregate	összesereglik
congregation	gyülekezet
congress	nagygyûlés
congress	kongresszus
congruent	egybevágó
congruous	congruent
conifer	tûlevelû
conifer	tobozos
conjecture	sejtés
conjecture	felvetés
conjecture	sejt
conjecture	gyanít
conjoin	összekapcsol
conjoin	összeilleszt
conjoint	egyesített
conjoint	közös
conjugal	házassági
conjugal	házastársi
conjugate	egyesített
conjugation	igeragozás
conjunction	kapcsolat
conjunction	kötôszó
conjunction	összetalálkozás
conjure	kiûz
conjure	elôvarázsol
conjure	bûvészkedik
conjurer	varázsló
conker	vadgesztenye
connect	összeköt
connect	összekapcsol
connect	kapcsolatba hoz
connect	összefügg
connect	csatlakozik
connected	összefüggô
connected	csatlakozó
connection	kapcsolat
connection	összefüggés
connection	összeköttetés
connection	csatlakozás
connive	szemethuny
connive	összejátszik
connoisseur	mûértô
conquer	meghódít
conquer	leigáz
conquer	legyôz
conqueror	hódító
conqueror	gyôztes
conquest	hódítás
conquest	legyôzés
conscience	lelkiismeret
conscientious	lelkiismeretes
conscious	tudatos
consciousness	öntudat
conscription	sorozás
consecrate	szán
consecrate	szentel
consecutive	egymásra következô
consensus	közvélemény
consent	beleegyezés
consent	beleegyezik
consent	hozzájárul
consequence	következmény
consequent	vmbôl következô
conservative	konzervatív
conservative	óvatos
conserve	konzerv
conserve	tartósít
conserved	konzervált
consider	megfontol
consider	tekintetbe vesz
considerable	tekintélyes
considerable	számottevô
consideration	megfontolás
consideration	szempont
consideration	elôzékenység
considering	tekintettel
consign	bizományba ad
consign	átruház
consignee	bizományos
consignment	küldés
consignment	küldemény
consist	áll vmbôl
consistence	állag
consistence	összetétel
consistent	következetes
consistent	megegyezô
consolable	vígasztalható
consolation	vigasz
console	tartópillér
console	kapcsolótábla
console	vigasztal
consolidate	megerôsít
consonance	együtthangzás
consonance	összhang
consonant	egybehangzó
consonant	mássalhangzó
consort	házastárs
conspicuous	nyilvánvaló
conspicuous	szembetünô
conspiracy	összeesküvés
conspirator	összeesküvô
conspire	hozzájárul
constable	rendôr
constancy	állandóság
constancy	állhatatosság
constant	állandó
constant	kitartó
consternation	megdöbbenés
consternation	megrökönyödés
constipated	szérekedéses
constipation	székrekedés
constipation	szorulás
constituent	alkotó
constitute	alkot
constitution	alkotmány
constitution	alapszabály
constrain	kényszerít
constrain	erôltet
constrain	szorít
constrained	erôltetett
constraint	kényszer
constrict	összehúz
construct	épít
construct	összeállít
construct	szerkeszt
construction	építés
construction	szerkesztés
construction	épület
construction	szerkezet
construe	taglal
consul	konzul
consulate	konzulátus
consult	utánanéz
consult	értekezik
consultanat	tanácsadó
consultation	tanácskozás
consultation	kozultáció
consultative	konzultatív
consulting	szaktanácsadó
consume	fogyaszt
consume	felhasznál
consumer	fogyasztó
consummate	véghezvisz
consummate	betetôz
consummate	tökéletes
consumption	fogyasztás
consumption	tüdôvész
contact	érintkezés
contact	kapcsolat
contagion	fertôzés
contagion	ragály
contagious	fertôzô
contagious	ragályos
contain	tartalmaz
contain	visszatart
contain	türtôztet
container	tartály
contaminate	szennyez
contaminate	fertôz
contaminated	szennyezett
contaminated	fertôzött
contamination	szennyezés
contamination	szennyezôdés
contemplate	szemlél
contemplate	megfontol
contemplate	elmélkedik
contemplation	szemlélôdés
contemplative	szemlélôdô
contemporary	egykorú
contemporary	kortárs
contempt	megvetés
contemptible	megvetendô
contemptible	hitvány
contemptuous	megvetô
contemptuous	lenézô
contend	verseng
contend	küzd
contend	veszekszik
contend	állít
content	tartalom
content	hajlandó
content	elégedett
contention	küzdelem
contention	versengés
contention	vita
contest	verseny
contest	mérkôzés
contest	küzd
contestant	versenyzô
context	szövegkörnyezet
contiguity	összefüggés
contiguous	határos
contiguous	szomszédos
continent	mértékletes
continent	szárazföld
continent	kontinens
continental	szárazföldi
continental	kontinentális
contingent	esetleges
continual	folytonos
continual	szakadatlan
continuation	folytatás
continuation	meghosszabbítás
continue	folytat
continue	meghagy
continue	folytatódik
continue	tart
continuity	folytonosság
continuous	folyamatos
continuous	összefüggô
continuous	szakadatlan
contort	eltorzít
contort	elferdít
contortion	eltorzítás
contour	körvonal
contract	szerzôdés
contract	megegyezés
contract	összevon
contract	vállal
contracted	összehúzott
contracted	kivonatos
contractual	szerzôdéses
contradict	ellentmond
contradict	cáfol
contradict	tagad
contradiction	ellentmondás
contradictory	ellentmondó
contrary	ellenkezô
contrary	makacs
contrast	ellentét
contribute	fizet
contribute	hozzájárul
contribute	közremûködik
contribution	hozzájárulás
contribution	közremûködés
contributor	közremûködô
contrite	bûnbánó
contrivance	feltalálás
contrivance	találmány
contrivance	találékonyság
contrive	kieszel
control	fennhatóság
control	irányítás
control	korlátoz
control	ellenôriz
controller	ellenôr
controller	felügyelô
controls	vezérlômû
controversial	vitatott
contumacious	engedetlen
contumacious	makacs
contuse	zúz
convalesce	lábadozik
convalesce	felépül
convalescence	lábadozás
convenience	kényelem
convenient	kényelmes
convenient	alkalmas
convention	egyezmény
convention	megállapodás
conventional	hagyományos
conventional	konvencionális
converge	összetart
conversant	jártas
conversant	jól ismer (vkt)
conversation	társalgás
conversation	beszélgetés
conversation	érintkezés
conversational	társalgási
converse	ellentétes
converse	beszélgetés
conversely	kölcsönösen
conversion	megtérítés
conversion	megtérés
conversion	átalakítás
conversion	átalakulás
convert	megtért
convert	megtérít
convert	átalakít
converter	átalakító
convertible	átalakítható
convertible	átváltható
convertible	konvertibilis
convertible	kabriolet
convey	szállít
convey	közvetít
convey	átruház
convict	fegyenc
convince	meggyôz
convivial	ünnepi
convivial	kedélyes
convocation	egybehívás
convoy	jármûkaraván
convulse	megráz
convulsion	rángatózás
convulsion	vonaglás
cook	szakács
cook	fôz
cook	fô
cooker	tûzhely
cookie	keksz
cookie	süti
cool	hûvös
cool	hideg
cool	közömbös
cool	mérsékel
coolness	hûvösség
coolness	hidegvér
cooperate	együttmûködik
cooperate	szövetkezik
cooperation	együttmûködés
cooperative	szövetkezeti
coordinate	egyenrangú
coordinate	koordinál
coordinate	koordináta
coordination	koordinálás
coordination	mellérendelés
cope	megbirkózik vmvel
copper	vörösréz
copy	másolat
copy	utánzat
copy	másol
copy	utánoz
copybook	füzet
copyhold	örökhaszonbérlet
copyright	szerzôi jog
copyright	jogvédelem
coral	korall
cord	kötél
cord	zsineg
cord	zsinór
cordial	szívélyes
cordial	szíverôsítô
cords	kordbársony
core	magtok
core	mag
core	kimagoz
cork	dugó
cork	bedugaszol
corkscrew	dugóhúzó
corn	gabona
corn	búza
corn	tyúkszem
corner	sarok
corner	szöglet
cornerstone	sarokkô
cornet	piszton
cornet	fagylalttölcsér
cornfield	búzatábla
corny	elcsépelt
coronation	koronázás
coroner	halottkém
corporal	tizedes
corporate	testületi
corporation	testület
corporation	társaság
corporation	vállalat
corpse	hulla
corral	karám
corrall	összeterel
correct	megfelelô
correct	helyes
correct	kifogástalan
correct	kijavít
correct	helyesbít
correct	rendreutasít
correction	javítás
correction	korrigálás
correction	rendreutasítás
correctness	korrektség
correlate	összefüggésben van
correlate	viszonyít
correspond	megfelel
correspond	levelez
correspondence	levelezés
correspondent	tudósító
corresponding	megfelelô
corridor	folyosó
corrigible	javítható
corrode	rozsdásodik
corrupt	romlott
corrupt	elront
corrupt	megveszteget
corruptible	megvesztegethetô
corruption	romlás
corruption	vesztegetés
corruption	korrupció
corsair	kalózhajó
cortex	kéreg
cosh	gumibot
cosmetic	szépítô
cosmetic	kozmetikai
cosmic	kozmikus
cosmonaut	ûrhajós
cosmos	világegyetem
cost	költség
cost	kiadás
cost	beáraz
costing	kalkuláció
costive	székrekedés
costly	költséges
costume	kosztüm
costume	viselet
cosy	kényelmes
cottage	házikó
cottage	villa
cottage	nyaraló
cotton	gyapot
cotton	pamut
couch	dívány
couch	kanapé
couch	lapul
cough	köhögés
cough	kibök
could	can
coulter	csoroszlya
council	tanács
council	tanácskozás
counsel	tanács
counsel	tanácskozás
counsel	szándé
counsellor	jogtanácsos
count	számolás
count	számlál
count	számol
count	gróf
countdown	visszaszámlálás
countenanace	arckifejezés
counter	hárítás
counter	ellenáll
counter	zseton
counter	számláló
counteract	ellensúlyoz
counteract	közömbösít
counteraction	közömbösítés
counterclockwise	óramutató járásával ellentétesen
counterfeit	hamis (pénz)
counterfeit	utánzat
counterfeit	tettet
counterpart	másolat
counterpart	hasonmás
counting	számolás
countless	számtalan
country	vidék
country	ország
county	megye
couple	pár
couple	párosít
couples	páronként
couplet	rímes verspár
coupling	összekapcsolás
coupon	szelvény
coupon	kupon
courage	bátorság
courageous	bátor
course	menet
course	folyamat
course	útirány
course	tanfolyam
course	fogás
course	üldöz
court	udvar
court	sport
court	bíróság
court	pálya
courtesy	udvariasság
courtesy	elôzékenység
cousin	unokatestvér
cove	vájat
cover	fedô
cover	huzat
cover	fedél
cover	menedék
cover	fedezet
cover	fed
cover	takar
cover	fedez
coverage	közvetítés
covered	fedett
covert	rejtett
covert	titkolt
covet	megkíván
covet	vágyik vmre
cow	tehén
cow	megfélemlít
cowboy	lovas marhapásztor
cower	leguggol
cower	meglapul
cowl	kámzsa
cowling	motorburkolat
coy	szemérmes
coyote	prérifarkas
cozy	cosy
crab	rák
crab	vadalma
crab	ócsárol
crabbed	mogorva
crack	kiváló
crack	reccsenés
crack	reped
cracked	repedt
cracking	repedés
cradle	bölcsô
cradle	lengôállvány
craft	ügyesség
craft	fortély
craftsman	mesterember
cram	töm
cram	zsúfol
crammer	magántanító
cramming	magolás
cramp	görcs
cramp	összeszorít
cramp	gátol
cramped	görcsös
cranberry	áfonya
crane	daru
crane	kinyújtja
crank	inditókar
crank	különc
cranny	hasadék
cranny	repedés
crash	csattanás
crash	összeomlás
crash	lezuhan
crash	összecsattan
crash	szétzúz
crate	rekesz
crater	kráter
crave	könyörög
craven	gyáva
crawl	csúszás
crawl	kúszás
crawl	csúszik
crawl	kúszik
crawl	nyüzög
crawler	csúszómászó
crawler	talpnyaló
crawler	tipegô
crayon	kréta
crazy	ôrült
crazy	bolond
creak	nyikorgás
creak	nyikorog
cream	tejszín
cream	vmnek a legjava
crease	ránc
create	teremt
create	alkot
create	elôidéz
creation	teremtés
creation	alkotás
creation	teremtmény
creative	alkotó
creature	teremtmény
credible	hihetô
credible	hitelt érdemlô
credit	hitel
credit	bizalom
credit	becsület
credit	jóváír
credit	elhisz
credit	hitelt ad
creditable	dicséretes
creditable	hitelképes
credulous	hiszékeny
creed	hitvallás
creep	csúszás
creep	csúszik
creeper	kúszónövény
creeps	borzongás
creepy	hátborzongató
cremate	hamvaszt
crept	creep
crescent	növekvô
crescent holdsarló
crest	taraj
crest	forgó
crest	címerpajzs
crew	legénység
crew	csapat
crib	jászol
cricket	tücsök
crime	bûncselekmény
crime	vétek
criminal	bûnös
criminal	bûnözô
crimp	hullámosít
crimson	karmazsin
cripple	nyomorék
cripple	megnyomorít
crisis	krízis
crisis	válság
crisp	ropogós
crisp	omlós
crisp	ropogósra süt
criterion	ismérv
criterion	kritérium
criterion	próbakô
critic	kritikus
critical	bíráló
criticize	bírál
criticize	kritizál
critique	kritika
croak	brekegés
croak	brekeg
croak	károg
crock	cserépedény
crockery	cserépedény
crocodile	krokodil
crocus	sáfrány
croft	telek	
crook	pásztorbot
crooked	görbe
crooked	tisztességtelen
crop	termés
crop	begy
crop	begyûjt
crop	legel
cross	kereszt
cross	ellentétes
cross	ingerült
cross	szenvedés
crossing	átkelés
crossing	keresztezôdés
cross-reference	utalás
cross-road	keresztút
crosswalk	gyalogátkelô
crossword	keresztrejtvény
crotchet	horog
crotchet	rögeszme
crow	varjú
crow	kukorékol
crowbar	feszítôrúd
crowd	tömeg
crowd	tolong
crowded	zsúfolt
crown	korona
crown	fejtetô
crucial	döntô
crucial	kritikus
crucial	válságos
crude	megmunkálatlan
crude	durva
cruel	kegyetlen
cruise	cirkál
cruise	tengeren utazik
cruiser	cirkáló
crumb	morzsa
crumb	paníroz
crumb	kiránt (húst)
crumble	szétmorzsol
crumbling	omladozó
crunch	összeroppant
crunch	ropogtat
crush	összenyomás
crush	szétzúz
crush	szétmorzsol
crust	kéreg
crusts	kenyérhéj
cry	kiáltás
cry	sírás
cry	kiabál
cry	sír
crying	síró
crypt	altemplom
cryptic	rejtélyes
cryptic	kriptaszerû
cryptogram	titkosírás
crystal	kristály
cub	kölyök
cube	kocka
cube	köb
cubic	kocka alakú
cubic	harmadfokú
cuckoo	kakukk
cucumber	uborka
cuddle	ölelés
cuddle	ölel
cuddle	összebújik
cudgel	bunkósbot
cue	végszó
cue	billiárddákó
cuff	mandzsetta
cuisine	konyha
culminate	delel
culminate	tetôfokára hág
culmination	delelôpont
culpable	bûnös
culpable	vétkes
culprit	vádlott
cultivate	mûvel
cultivate	kultivál
cultivate	ápol (barátságot)
cultural	kulterális
cultural	mûvelôdési
culture	mûvelés
culture	kultúra
cumulative	fokozódó
cumulative	halmozódó
cunning	ravasz
cunning	jártas
cunt	pina
cup	csésze
cup	kupa
cup	kehely
cupboard	konyhaszekrény
cupidity	vágy
curable	gyógyítható
curb	zabla
curb	kútkoszorú
curb	járdaszegély
curdle	megalvaszt
cure	gyógyítás
cure	kezelés
cure	kúra
cure	pácol
curfew	takarodó
curing	gyógyítás
curiosity	kíváncsiság
curiosity	érdekesség
curious	kíváncsi
curious	furcsa
curl	göndörödô hajfürt
curl	göndörít
curler	hajcsavaró
curly	göndör
curly	fodros
curly	bodros
currency	pénznem
currency	valuta
currency	forgalom (pénzé)
currency	érvényesség
current	forgalomban levô
current	elterjedt
current	általános
current	áramlat
currently	jelenleg
curriculum	tanmenet
curry	cserez
curse	átok
curse	átkoz
cursed	átkozott
cursing	káromkodás
cursory	futólagos
cursory	felületes
cursor	kurzor
curt	kurta
curtail	kurtít
curtain	függöny
curtain	elfüggönyöz
curvature	görbület
curve	kanyar
curve	görbület
curve	görbít
curve	görbül
curve	kanyarodik
cushion	párna
cushion	vánkos
custard	tejsodó
custody	felügyelet
custody	ôrizet
custom	szokás
custom	vevôkör
customary	szokásos
customer	vevô
customer	fogyasztó
customs	vám
cut	vágás
cut	metszés
cut	szabás
cut	szelet
cut	csökkentés
cut	vág
cut	metsz
cut	nyír
cut	kiszab
cute	csinos
cute	aranyos
cute	helyes
cute	ravasz
cutless	vadászkés
cutlet	kotlet
cutoff	útrövidítés
cutout	kivágott
cutthroat	gyilkos
cycle	körforgás
cycle	ciklus
cycle	idôszak
cycle	kerékpározik
cyclone	forgószél
cyclone	ciklon
cylinder	henger
cymbal	cintányér
cynic	cinikus
cynical	kiábrándult
cynical	cinikus
cynicism	cinizmus
dab	legyintés
dab	meglegyint
dab	bepúderoz
dab	hozzáértô
dab	lepényhal
dabble	megnedvesít
dabble	pancsol
dabble	meglocsol
dabbler	kontár
dachshund	tacskó
dachshund	borzeb
dactyl	daktilus
dad	apu
dad	papa
daddy	dad
daffodil	sárga nárcisz
daffy	ostoba
daft	bolond
daft	vidám
dagger	tôr
daguerreotypy	daggerotípia
daily	naponkénti
daily	napi
daily	naponta
dainty	kecses
dainty	izléses
dainty	finnyás
dairy	tejüzem
dairy	tejcsarnok
daisy	százszorszép
daisy	margaréta
dale	völgy
dalliance	enyelgés
dally	elfecsérel
dally	enyeleg
dalmatian	dalmát
dam	gát
dam	duzzaszt
damage	kár
damage	veszteség
damaged	sérült
damaged	hibás
damages	kártésítés
damaging	hátrányos
dame	hölgy
damn	átok
damnation	kárhozat
damned	átkozott
damned	átkozottul
damning	elitélô
damp	nyirkos
damp	lehangoltság
damp	tompít
damper	bélyegnedvesítô
dance	tánc
dance	táncol
dance	táncmulatság
dancer	táncos
dancing	táncoló
dandle	ringat
dandruff	korpa
dandy	piperkôc
danger	veszély
dangerous	veszélyes
dangle	lóbál
dangle	fityeg
Danish	dán
dank	nyirkos
dapper	jólöltözött
dare	mer
dare	dacol
dare	kihív
dare-devil	fenegyerek
daring	merész
dark	sötét
darken	elsötétít
darken	elhomályosít
darken	elsötétül
darkling	sötétedô
darkness	sötétség
darkness	gonoszság
darling	kedves
darn	beszövés
darn	stoppolás
darn	a fene egye meg
dart	dárda
dash	ütôdés
dash	nekiiramodás
dash	lendület
dash	összetör
dash	robog
dashboard	sárhányó
dashboard	mûszerfal
dashed	istenverte
dashing	lendületes
data	adat
databank	adatbank
database	adatbázis
date	idôpont
date	dátum
date	találka
date	keltez
date	ered
date	datolya
dated	elavult
dateline	határidô
datestamp	dátumbélyegzô
daub	vakolat
daub	mázolás
daub	pingál
daughter	leány
daunt	megijeszt
daunt	elcsüggeszt
dauntless	rettenthetetlen
David	Dávid
daw	csóka
dawdle	cselleng
dawn	hajnal
dawn	virrad
dawn	hajnalodik
day	nap
daybreak	hajnal
daylight	világosság
daylight	napvilág
daytime	nappal
dazzle	káprázat
dazzle	elkápráztat
dazzle	elvakít
deactivate	hatástalanít
dead	halott
dead	holt
deaden	tompít
deaden	gyengít
deadline	határidô
deadline	lapzárta
deadlock	holtpont
deaf	süket
deafen	süketít
deafen	hangszigetel
deafness	süketség
deal	mennyiség
deal	bánásmód
deal	alku
deal	kereskedik
deal	foglalkozik
deal	bánik
dealer	kereskedô
dealer	osztó
dealing	viselkedés
dear	kedves
dear	drága
death	halál
deathless	halhatatlan
deathly	halálos
deathly	halálosan
debar	elzár
debar	kirekeszt
debar	megakadályoz
debark	partra száll
debarkation	partraszállás
debase	lealáz
debatable	vitatható
debate	vita
debate	vitatkozik
debauch	dorbézolás
debauch	dorbézol
debauched	züllött
debauchery	kicsapongás
debilitate	elgyengít
debilitate	legyengít
debility	gyengeség
debit	tartozás
debouch	beletorkollik
debriefing	kihallgatás
debris	törmelék
debt	adósság
debt	tartozás
debtor	adós
debunk	leleplez
debut	bemutatkozás
decade	évtized
decadence	hanyatlás
decadence	romlás
decadent	dekadens
decamped	tábort bont
decampment	táborbontás
decant	lefejt (bort)
decantation	lefejtés
decapitate	lefejez
decapitation	lefejezés
decathlon	tízpróba
decay	romlás
decay	hanyatlás
decay	szuvasodás
decay	bomlik
deceit	csalás
deceitful	álnok
deceitful	csaló
deceive	becsap
deceive	megtéveszt
deceive	megcsal
decelerate	lassít
deceleration	sebesség csökkentése
December	cecember
decency	illem
decency	illendôség
decent	illedelmes
decent	tisztességes
decent	tûrhetô
decentralization	decentralizálás
decentralize	decentralizál
deception	csalás
deception	csalódás
decide	eldönt
decide	elhatároz
decided	határozott
decided	kifejezett
decimal	tízes
decimal	tizedes
decipher	kibetûz
decipher	megfejt
decipherable	megfejthetô
decision	döntés
decision	elhatározás
decision	határozat
decision-making	határozathozatal
decisive	döntô
deck	fedélzet
declaim	szónokol
declaim	szaval
declamation	szónoklat
declamation	szavalás
declaration	nyilatkozat
declaration	kihirdetés
declare	kijelent
declare	nyilatkozik
declaredly	nyíltan
declension	lejtô
declension	hanyatlás
declination	eltérés
decline	csökkenés
declivity	lanka
declutch	kikuplungoz
decoct	lepárol
decode	dekódol
decolleté	dekoltázs
decolorization	fakulás	
decompose	szétbont
decompose	felbomlik
decompressor	nyomáscsökkentô
decontaminate	fertôtlenít
decorate	díszít
decoration	díszítés
decoration	dekoráció
decorous	illô
decorous	illedelmes
decorum	tisztesség
decoy	csalétek
decoy	tôrbecsal
decrease	csökkentés
decrease	csökkent
decrease	fogy
decreasing	csökkenô
decree	rendelet
decree	végzés
decree	elrendel
decrepit	rokkant
decrepit	elaggott
decry	leszól
decry	becsmérel
dedicate	szentel
dedicate	dedikál
dedication	felajánlás
