a	et
imaginative, fanciful	fantasifull
imagine	innbille seg
imbibe, absorb	absorbere
imbibe, drink	drikke
imitable	etterlignbar
imitator	etterligner
immaterial	uvesentlig
immature	umoden
immediate	umiddelbar
immemorial	uminnelig
immerse, lower	senke
immigrant	innvandrer
immigrate	innvandre
immigration	innvandring
imminent, forthcoming	forestående
immoderate, immensely, exceedingly, immeasurably	umåtelig
immoral	umoralsk
immorality	umoralskhet
immortal	udødelig
immortality	udødelighet
immovable	ubevegelig
immovable	urokkelig
immune, impervious	uimottakelig
imp	djevelunge
imp	skøyer
impact	innvirkning
impaired	svekket
impart	gi videre
impassable	ufremkommelig
impasse	blindgate
impatience	utålmodighet
impatient	utålmodig
impeachment, incriminate	anklage
impeccable	plettfri
impeccable, immaculate	uklanderlig
impel	drive fram
impel	tilskynde
impending	nær forestående
impending, imminent	overhengende
impenetrable, impervious	ugjennomtrengelig
imperative	imperativ
imperative	myndig
imperfect	imperfektum
imperfect	ufullkommen
imperfection	ufullkommenhet
imperial	keiserlig
imperil	utsette for fare
imperishable	ubedervelig
impersonal, impersonal	upersonlig
impersonate, imitate, emulate	etterligne
impersonation, imitation	etterligning
impertinence	nesevishet
impertinent	nesevis
imperturbable	uforstyrrelig
impetuous, fierce, intense	voldsom
impetus	stimulans
impetus, impulse	impuls
impious	ugudelig
implement, instrument	verktøy
implicate	innvikle
implicate, imply	implisere
implication	innvikling
implication, involvement, interference	innblanding
implicit	stilltiende
implicit	underforstått
implore, entreat	bønnfalle
import	importere
import	innførsel
import, imply	innebære
import, introduce	innføre
importance	viktighet
important	viktig
impose, inflict	påtvinge
imposition	påbud
imposition	pålegg
imposition, tax, levy	skatt
impossibility	umulighet
impossible	umulig
impostor	bedrager
imposture, fraud	bedrageri
impotent	kraftløs
impoverish	gjøre fattig
impracticable	ugjennomførlig
impregnable	uinntagelig
impregnate	gjennomtrenge
impregnate	impregnere
impregnate	impregnert
impress	imponere
impress, print	trykke
impression	inntrykk
impressive, formidable, imposing	imponerende
imprint	innprente
imprint, impress	preg
imprint, impress	prege
imprint, impress, impression	avtrykk
imprison, grip, jail, captivate	fengsle
imprisonment	fangenskap
imprisonment	fengsling
improbability	usannsynlighet
improper, inappropriate	upassende
improvable	kan forbedres
improve, enhance	forbedre
imprudence	ubetenksomhet
imprudent	uklok
imprudent, indiscreet, inconsiderate	ubetenksom
impudence	uforskammethet
impudent, impertinent, insolent	uforskammet
impulse, inducement, incitement	tilskyndelse
impure	uren
in	hos
in	i
in	inn
in any case	i hvert fall
in any case	iallfall
in any case	uansett
in front of, before	før
in front of, before, fore	foran
in, indoor, inside, indoors	inne
in-laws	svigerfamilie
inability, incapability	manglende evne
inaccessible	utilgjengelig
inaccuracy	unøyaktighet
inaccurate	unøyaktig
inaction	uvirksomhet
inactive, idle	uvirksom
inadequate, deficient, insufficient	utilstrekkelig
inadmissible	kan ikke godtas
inadvertently	av vanvare
inapplicable	uanvendelig
inapplicable	ubrukelig
inasmuch as	ettersom
inattention	uoppmerksomhet
inattentive	uoppmerksom
inaugural	innvielses-
inaugurate	innsette
inauguration	innsettelse
inborn, innate, inherent	medfødt
incandescent	hvitglødende
incandescent lamp	glødelampe
incapacity	arbeidsuførhet
incapacity	inhabilitet
incapicitate	gjøre arbeidsufør
incapicitate	umuliggjøre
incendiary	brann-
incense	hisse opp
incense	røkelse
incentive	ansporende
incentive	incitament
incessant	uopphørlig
incestuous	skyldig i incest
inch	tomme
incidence, expansion	utbredelse
incident	episode
incident	innfallende
incident, happening	hendelse
incidental, casual, fortuitous, haphazard	tilfeldig
incidentally	forresten
incinerate	forbrenne
incinerate, burn	brenne
incinerator	forbrenningsovn
incision	innsnitt
incisive	skarpt
incite	anspore
incitement	spore
inclination	helling
inclination, bent, leaning	tilbøyelighet
incline	skråne
incline	skråning
inclined	skrånende
include	inkludere
include	omfatte
inclusive	inklusive
inclusive	samlet
incoherent, disconnected, disjointed	usammenhengende
income	inntekt
incoming	innkommende
incomparable	usammenlignbar
incompetent	inhabil
incompetent, incapable	uskikket
incomplete	uferdig
incomplete	ufullstendig
incomprehensible	uforståelig
inconceivable	ufattelig
incongruous	uoverstemmende
inconsiderable	ubetydlig
inconsiderate	hensynsløs
inconsistent	inkonsekvent
inconsistent	selvmotsigende
inconvenience	bry
inconvenience	uleilighet
inconvenient	brysom
inconvenient	ubeleilig
inconvenient, difficult, hard	vanskelig
incorporate	innlemme
incorporated	innlemmet
incorrect	uriktig
incorrigible	uforbederlig
increase	tilta
increase, boost, gather, enhance	øke
increase, growth	vekst
increase, heighten	forhøye
incredible	utrolig
incredulous, dubious	tvilende
increment	tillegg
incriminate	belaste
incubator	kuvøse
incubator	rugemaskin
incur	utsette seg for
incurable	uhelbredelig
indebted	stå i gjeld
indecency	uanstendighet
indecent	uanstendig
indecision	ubesluttsomhet
indecisive, irresolute	ubesluttsom
indeed	ja visst
indeed	riktig nok
indeed	sannelig
indefatigable	utrettelig
indefensible	ikke kan forsvares
indefensible	uholdbar
indefinite	ubegrenset
indefinite	ubestemt
indelible	uutslettelig
indelicacy, indiscretion	taktløshet
indemnity	skadeserstatning
indent	skjære hakk i
indent for	rekvirere
indent, instructions	ordre
indentation	hakk
indentation	innrykk
indentation, hack	skår
independence	uavhengighet
independent	uavhengig
indestructible	kan ikke ødelegges
indestructible, imperishable	uforgjengelig
index	register
index	registrere
index, forefinger	pekefinger
index, indicator	viser
indicate	indikere
indicate	markere
indicate	visse
indication	tegn
indict	reise tiltale mot
indictment	tiltale
indifference	likegyldighet
indifferent	likegyldig
indifferent	middelmådig
indigenous	innfødt
indigestible	ufordøyelig
indigestion	dårlig fordøyelse
indignant	indignert
indignant	vred
indignation	harme
indiscernable, imperceptive	umerkelig
indiscreet	indiskret
indiscretion	indiskresjon
indiscriminate	kritikkløs
indiscriminate	vilkårlig
indispensable	uunnværlig
indisposed	utilpass
indisposition	utilpasshet
indisposition, grudge	uvilje
indisputable	ubestridelig
indissoluble, insoluble	uoppløselig
indistinct	utydelig
indistinctive	ukarakteristisk
individual	individ
individual	individuell
individual	personlig
individual	særskilt
indivisible	udelelig
indolence	lathet
indolence	treghet
indomitable	ukuelig
indomitable	utemmelig
indoors	innendørs
indubitable	utvilsom
induce	forårsake
induce, coax	overtale
indulge	føye
indulge	gi etter for
indulgence	ettergivenhet
indulgent	ettergivende
indulgent	overbærende
industrial	industri-
industrial	industriell
industrious, diligent	flittig
industry	industri
industry	næringsvei
inebriated	beruset
ineffective	ineffektiv
ineffective, inoperative	virkningsløs
inefficient, inept	udugelig
inept	ukyndig
inept, inane, daft, foolish	tåpelig
inept, inappropriate	malplassert
inequitable, iniquitous	urettferdig
ineradicable	uutryddelig
inevitable	uunngåelig
inexorably	ubønnhørlig
inexpedient	uhensiktsmessig
inexpensive, cheap	billig
inexperienced, fresh	uerfaren
inexplicable	uforklarlig
inexpressible	uutsigelig
inexpressible, indescribable	ubeskrivelig
inexpressive	uttrykksløs
inextricable	sammenfiltret
infallible	ufeilbarlig
infancy, childhood	barndom
infant	spedbarn
infantile	barnslig
infantile	infantil
infantry	infanteri
infatuated	blindt forelsket
infatuation	blind forelskelse
infect	infisere
infect, infection, contagion	smitte
infection	infeksjon
infectious	smittende
infer, insinuate, intimate, hint, imply	antyde
inference	slutning
inferior	dårligere
inferior	mindreverdig
inferior	underordnet
inferiority complex	mindreverdighetskompleks
infernal	fordømt
infernal	helvetes
infernal, confounded	pokkers
infertile, barren	ufruktbar
infertility	ufruktbarhet
infest	hjemsøke
infidelity	utroskap
infiltrate	infiltrere
infinite, interminable, endless	uendelig
infinity	uendelighet
infirm	svakelig
infirmity	svakelighet
infirmity, frailty	skrøpelighet
inflamed	betent
inflamed	opphisset
inflammable	brennbar
inflammation	betennelse
inflate	pumpe opp
inflated	oppblåst
inflation	inflasjon
inflation	oppblåsing
inflect	bøye
inflect	modulere
inflection	bøyning
inflection	modulasjon
inflict	tildele
influence	influere
influence	innflytelse
influential	innflytelsesrik
influenza	influensa
inform	meddele
inform	underrette
informal, intimate	uformell
informer	angiver
infringe, contravene	overtre
infuriating	meget irriterende
infuse	sette mot i
ingenious, inventive	oppfinnsom
ingenuity	lurt påfunn
ingenuous	troskyldig
ingrained	gjennomfarget
ingrained, inveterate	inngrodd
ingratitude	utakknemlighet
ingredient	besstanddel
ingredient	ingrediens
inhabit	bebo
inhabitable, habitable	beboelig
inhabitant	innbygger
inhale	innhalere
inhaler	inhalator
inharmonious	uharmonisk
inherent	iboende
inherit	arve
inhibit, encumber, impede, hinder, hamper	hindre
inhibition	hemning
inhibitive	hemmende
inhospitable	ugjestfri
inhuman	umenneskelig
inimical, adverse, hostile	fiendtlig
iniquitous, infamous, disgraceful	skammelig
initial	begynnelses-
initial	forbokstav
initiate	innlede
initiate	inviet
initiate, hallow, inaugurate, consecrate	innvie
initiation, inauguration	innvielse
inject	sprøyte inn
injection	innsprøytning
injection, hype, hypodermic	sprøyte
injure	krenke
injurious	krenkende
injury, invasion	krenkelse
injustice	urettferdighet
ink, ink	blekk
inkling, hunch	anelse
inland	innland
inlet	innløp
inmate	innsatt
inmate, inhabitant	beboer
inn	kro
inn	vertshus
innermost	innerst
innocence	uskyld
innocence	uskyldighet
innocent	uskyldig
innovation	fornyelse
innovation	nyskapning
innuendo	insinuasjon
innumerable	talløs
innumerable	utallig
inoculate	vaksinere
inordinate, excessive, immoderate	overdreven
inquest	likskue
inquiry, enquiry	forespørsel
inquisitive	vitebegjærlig
insane	sinnsyk
insanity	sinnssykdom
insanity	vannvidd
inscribe	dedisere
inscription	inngravering
inscription	innskripsjon
insect, bug, insect	insekt
insecticide	insektmiddel
insecure, faltering	usikker
insensibility	følelsesløshet
insensible	følelsesløs
insensible, callous	ufølsom
inseparable	uatskillelig
insert	rykke inn
insert	sette inn
insert	skyte inn
inside	innside
inside, inwardly, internal, indoor, interior	innvendig
insider trading	innsidehandel
insight	innsikt
insincere	uoppriktig
insipid	flau
insipid	smakløs
insist	insistere
insist on	fastholde
insistent	pågående
insoluble, inextricable, indissoluble	uløselig
insomnia	søvnløshet
inspect	inspisere
inspect	kontrollere
inspection	inspeksjon
inspection	kontroll
inspector	inspektør
inspiration	inspirasjon
inspire	inspirere
instability	ustabilitet
instable	ustabil
install	insette
install	installere
instalment	avdrag
instalment	porsjon
instance, example	eksempel
instant	øyeblikk
instant coffee	pulverkaffe
instant, immediate	øyeblikkelig
instantaneous	momentant
instantly, forthwith, immediately	straks
instead	isteden
instead of	istedenfor
instep	vrist
instigate	tilskynder
instigate, incite, goad	egge
instill	inngyte
instill, inoculate	innpode
instinct	instinkt
instinctive	instinktiv
instinctive	uvilkårlig
institute	institutt
institution	institusjon
institutionalize	anbringe på institusjon
instruct	instruere
instruct	undervise
instruction	instruksjon
instruction, education	undervisning
instructions	bruksanvisning
instructions	instruks
instructive	lærerik
instructor, teacher	lærer
instrument	instrument
instrument	instrumentere
instrumental	instrumental
instrumental	medvirkende
insubordinate	oppsetsig
insubordinate, disobedient	ulydig
insufferable, untolerable, intolerable	utålelig
insuing, following	påfølgende
insularity	øyboermentalitet
insulation, isolation, insulation	isolasjon
insulator	isolator
insult	fornærme
insult	fornærmelse
insuperable	uoverkommelig
insurance	forsikring
insurmountable, insuperable	uoverstigelig
insurrection	opprør
intangible	uhåndgripelig
intangible	vag
integer	heltall
integral	helhetlig
integral	integral
integral	integrerende
integrate	integrere
integrity	helhet
integrity	integritet
integrity	rettskaffenhet
intellect	forstand
intellectual	forstandsmessig
intellectual, highbrow	intellektuell
intelligence	etterretning
intelligence	intelligens
intelligent	intelligent
intelligible	forståelig
intemperance	mangel på måtehold
intend	ha til hensikt
intended	tilkommende
intense	intens
intensification	forsterkning
intensify	intensivere
intensity	intensitet
intent	spent
intention	formål
intention, idea	hensikt
intentional	tilsiktet
interaction	vekselvirkning
intercede	megle
intercept	avskjære
intercept	snappe opp
interceptor	nærjager
interchange	utveksle
intercourse	samkvem
interest	interesse
interest	interessere
interest	rente
interesting, intriguing	interessant
interface	grensesnitt
interfere	blande seg opp i
interference	rad
interlock	blokkere
interlock	passe
interlock	sperre
interlude	mellomspill
intermediary	mellommann
intermediate	mellom-
intermediate, interjacent	mellomliggende
interminable, endless	endeløs
intermittent	periodisk
intern	internere
international	internasjonal
internee	internert
internment	internering
interplay	samspill
interplay	vekselspill
interpolate	innskyte
interpolate	interpolere
interpose	gripe inn i
interpose	komme mellom
interpret	tolke
interpret	tyde
interpretation	fortolkning
interpretation	tolkning
interpreter	tolk
interrogate	forhøre
interrogation	forhør
interrogation	utspørring
interrogative, quizzical	spørrende
interruption, intermission	avbrytelse
intersect	gjennomskjære
intersection	skjæringspunkt
interval	mellomrom
interval, intermission, interlude	pause
intervene	gripe inn
intervene	intervenere
intervention	intervensjon
interview	intervju
interview	intervjue
interview, conversation	samtale
intimate, familiar	fortrolig
intimidate, scare, frighten	skremme
intimidation	skremming
intinerary	reiserute
into	inn i
intolerable, excruciating, insupportable	uutholdelig
intolerant	intolerant
intonation	intonasjon
intonation, accent	tonefall
intoxicant	rusmiddel
intoxicate	beruse
intoxication	beruselse
intoxication	rus
intrepid	uforferdet
intrepid, fearless	fryktløs
intricate	innviklet
intrigue	intrige
intrigue	intrigering
intriguing	intregant
intrinsic, inside, internal, inner, interior	indre
introduce	introdusere
introduce	presentere
introduction	presentasjon
introduction, initiation	innledning
introductory	innledende
intrude	trenge på
intrude, disturb	forstyrre
intruder, invader	inntrenger
intrusion, disturbance	forstyrrelse
intrusive	påtrengende
intuition	intuisjon
intuitive	intuitiv
invade	invadere
invalid	invalid
invalid	ugyldig
invalid, disabled	ufør
invalidate	gjøre ugyldig
invaluable, inestimable	uvurderlig
invariable	uforanderlig
invariably, ever	alltid
invasion	invasjon
invent	oppfinne
invention	oppfinnelse
inventor	oppfinner
inventory	inventarliste
inverse, inverted	omvendt
inversion	inversjon
invert	invertere
inverted	speilvendt
invest	investere
investigate	etterforske
investigate, examine	undersøke
investigation	etterforskning
investigation	granskning
investment	investering
investor	investor
invigorate, force, intensity	styrke
invigorating	forfriskende
invincible	uovervinnelig
inviolable	ukrenkelig
invisible	usynlig
invitation	invitasjon
invitation	oppfordring
invite	innby
invite	oppfordre
inviting	innbydende
invoice	faktura
invoice	fakturere
invoke	anrope
invoke	påkalle
involuntary	ufrivillig
involve	involvere
involve	trekke inn
involvement, engagement	engasjement
invulnerable	usårbar
inwards	innover
iodine	jod
irksome	kjedsommelig
ironic	ironisk
irony	ironi
irrational	fornuftsstridig
irrational	irrasjonell
irreconcilable	uforsonlig
irreconcilable, incompatible	uforenlig
irregular	uregelmessig
irregularity	uregelmessighet
irrelevance	irrelevanse
irrelevant	irrelevant
irreprochable, immaculate	ulastelig
irresistible	uimotståelig
irresponsible	uansvarlig
irretrievable, irreparable	uopprettelig
irreverent	respektløs
irrevocable	ugjenkallelig
irrigate	overrisle
irrigate	vanne
irrigation	overrisling
irrigation	vanning
irritable, edgy	irritabel
irritation	ergrelse
irritation	irritasjon
is, am	er
isle, island	øy
isler	øyboer
isolate, insulate	isolere
issue	utgi
issue	utstede
issue	utstedelse
it	den
it	det
itch	klø
itch	kløe
itch	skabb
item	artikkel
item, post, mail	post
item, spot, point, dot, period	punkt
itemize	spesifisere
itinerant	omreisende
its	dens
its	dets
its	sin
its	sine
itself	seg
itself	selv
ivory	elfenben
ivy	eføy
jack	jekk
jack knife	foldekniv
jackal	sjakal
jacket	jakke
jaded	sløvet
jaded	trett
jag	rangel
jag	spiss
jag, barb	tagg
jagged	taggete
jam	blokkering
jam	knipe
jam	syltetøy
jangle	rasle
jangle	rasling
jangle	skramle
jangle	skramling
janitor	portvakt
janitor	vaktmester
January	januar
Japanese	Japansk
jar	ryste
jar, quake	rystelse
jaundice	gulsott
jaunt	kort tur
jaunty, gay	munter
javelin	spyd
jaw	gap
jaw	kjefte
jaw	kjeve
jaw, gab	skravle
jay	nøtteskrike
jeakousy	sjalusi
jealous	sjalu
jeer	håne
jeer, gibe	spotte
jelly	gelè
jellyfish	manet
jeopardize	sette på spill
jeopardize, endanger	bringe i fare
jerk	rykke
jerk, fool	tosk
jerk, haul	rykk
jester	narr
jester	spøkefugl
jet	jetfly
jet	stråle
jet, gush	sprut
jew	jøde
jewel	juvel
jewel, adorn	smykke
jeweller	gullsmed
jewellery	smykker
jewish	jødisk
jib	klyver
jib	utligger
jig	gigg
jig	pilk
jigsaw puzzle	puslespill
jigsaw, fretsaw	løvsag
jingle	klirre
jingle	klirring
jingle	ringle
job	jobb
job	jobbe
job	spekulere
jockey	jockey
jockey	manøvrere
jog	jogge
jog, jostle	puffe
join, joint	skjøte
join, link	forbinde
join, yoke	forene
joint	felles-
joint	skjøt
joke, hoax, jest	spøk
joke, jest, haunt	spøke
jolly, merry, cheerful, gay	lystig
jolt	skumpe
jolt	støte
jolt, jog, impact	støt
jostle, hustle	skubbe
jot	døyt
journal, daily paper, newspaper	avis
journalism	journalistikk
journalist	journalist
jovial	gemyttlig
jowl	underkjeve
joyful	gledelig
joystick	styrespake
jubilee	jubileum
judge	anse for
judge	dommer
judge, doom	dømme
judgement	dom
judicial	rettslig
judicious	klok
jug	mugge
jug, pot	potte
juggle	sjonglere
juggler	sjonglør
juice	saft
juicy, luscious	saftig
July	juli
jumble	virvar
jumble sale, fleamarket	loppemarked
jumper	hopper
jumper cables	startkabler
jumpy	urolig
junction	knutepunkt
junction, cross, intersection	kryss
June	juni
jungle	jungel
junior	junior
junior	yngre
juniper	einer
junk, drug	narkotika
junkie	narkoman
junkie, addict	stoffmisbruker
junkshop	skraphandel
juridical, legally, judicial	juridisk
jurisdiction	domsmyndighet
jurisprudence	rettsvitenskap
jury	jury
just	bare
just	rettferdig
just	rimelig
just, exactly	nettopp
justice	berettigelse
justice, fairness	rettferdighet
justifiable	forsvarlig
justification	rettferdiggjørelse
justify	rettferdiggjøre
jut	stikke fram
juvenile	ungdoms-
juvenile delinquent	ungdomsforbryter
juxtaposition	sidestilling
kangaroo	kenguru
keel	kjøl
keen, acute	skarp
keen, zealous, eager, fervent	ivrig
keep	beholde
keepsake, souvenir, memento, monument	minnesmerke
keg	tønne
keg, dish, course, platter	fat
kerosene, paraffin-oil, petroleum	parafin
kettledrum	pauke
kettleholder	gryteklut
keyboard	klaviatur
keyboard	tastatur
keyhole	nøkkelhull
keyring	nøkkelring
kick	spark
kid	erte
kid	geitekilling
kid	unge
kidney	nyre
kill	drepe
killer	morder
kilo	kilo
kin	slekt
kindergarten	barnehage
kindle, light	tenne
kindred	beslektet
kindred	slektskap
king	konge
kingdom	kongerike
kipper, red herring	røkesild
kirk, church	kirke
kitbag	reiseveske
kitchen	kjøkken
kitchenette	tekjøkken
kite	papirdrage
kitten	kattunge
knack	ferdighet
knack	håndlag
knapsack	ransel
knave	kjeltring
knead	elte
knead	kna
knee	kne
kneecap	kneskål
kneejoint	kneledd
kneel	knele
knickers	nikkers
knickers	underbukser
knife	kniv
knight	ridder
knit	strikke
knitting	strikketøy
knittingneedle	strikkepinne
knittingwool, yarn	garn
knob	knott
knob, knot	knute
knobbly	knudret
knocker	dørhammer
knoll	knaus
knoll, heap	haug
knot	knop
knot, cluster, huddle	klynge
know	kjenne til
know	kunne
know	vite
knowing	megetsigende
knowledge	kjennskap
knowledge	kunnskap
knowledgeable	kunnskapsrik
knuckle	knoke
knuckleduster	slåsshanske
knurled	riflete
knurled	rulettert
label	etikett
label	merkelapp
label	stemple
laboratory	laboratorium
laborious	strevsom
labour	arbeide
labour	arbeidskraft
labour	stri med
lace	knipling
lace	lisse
lace	snøre
lacerate	lage rift i
lack	mangle
ladder	leider
ladder, flow	stige
laden	lastet
laden	nedtynget
ladle	sleiv
ladle	øse
lady	dame
lady, madam	frue
lag	sommel
lagoon	lagune
lair	hi
lake, loch	innsjø
lake, loch	sjø
lamb	lam
lamb	lamme
lame	halt
lament	jamre
lament	klagesang
lament, complain	klage
lamp	lampe
lamp post	lyktestolpe
lamp shade	lampeskjerm
lampoon	smedeskrift
lance	lanse
lance	stikke hull på
land	havne
land	lande
land, country	land
landholder	grunneier
landing	landing
landing	landsetting
landing	nedslag
landing	trappeavsats
landingslope	unnarenn
landlady, hostess	vertinne
landlord, host	vert
landscape	landskap
landslide, avalanche	skred
lane	kjørefelt
languid, dull, inert, indolent	treg
languish	vansmekte
languor	sløvhetstilstand
lank, flush, glib, glossy, icy, even	glatt
lank, haggard, lean	mager
lantern	lanterne
lantern	lykt
lap	runde
lap	skvalpe
lapdog	skjødehund
lapel	jakkeslag
lapse	forfalle
lapse, decline, decay, decadence	forfall
laptime	rundetid
laquer	lakk
laquer	lakkere
larch	lerk
lard	smult
larder	spiskammer
largely	overveiende
lark	lerke
lark, fun	moro
larkspur	ridderspore
larynx	strupehode
lash	piskeslag
lash	snert
lash	øyenvipp
lass	ungjente
last	forrige
last, item	vare
last, latter	siste
lastly	til slutt
latch	klinke
latch	smekklås
late	sein
late, belated	forsinket
latecomer	etternøler
lately	i det siste
lateral	side-
lath	lekte
Latin	Latinsk
latitude	breddegrad
latitude	spillerom
latter	sistnevnte
lattice bars	sprinkler
lattice, grid, grate	gitter
laudable	rosverdig
laugh, laughter	latter
laugh, lee	le
laughing	leende
launch	lansering
launch	sjøsette
launch	stabelavløpning
launch	utskytning
launderette, laundry	vaskeri
laundry	vask
laurel	laurbær
lavender	lavendel
lavish	ødsle bort
lavish, luxurious	overdådig
law	jus
law	lov
law	rett
lawful	rettsmessig
lawless	lovløs
lawn	gressplen
lawnmower	gressklipper
lawsuit	rettsak
lawyer	jurist
lax, floppy, limp, flabby	slapp
laxative	avføringsmiddel
laxity	slapphet
lay	kvad
lay	legge
lay hold of, pick up	ta
lay-by, parking garage, parking bay, car park	parkeringsplass
layer	lag
layercake	bløtkake
layman	lekmann
lazy, idle	doven
lazy, indolent	lat
lead	bly
lead	forsprang
lead	hovedrolle
lead	lodd
lead, hint	vink
leaded	med bly
leaden	blyaktig
leading	ledende
league	liga
leak	lekk
leakage, leak	lekkasje
lean	lene
leap, hop, jump	hopp
leap, hop, jump	hoppe
leap, jump	sprang
learn	erfare
learned	lærd
learner	elev
learning	læring
lease	bygsel
lease	bygsle
lease	leiekontrakt
leasehold	bygslet grunn
leaseholder	forpakter
leaseholder	leier
leash	hundebånd
leash	koppel
least, lesser	minst
leather	lær
leathery	læraktig
leathery	seigt
leave	etterlate
leave	permisjon
leave, departure	avreise
leaven	surdeig
leaves, leaf	løv
lecherous	lidderlig
lecture	forelesning
lecture, discourse	foredrag
lecturer	foreleser
lecturer	universitetslektor
ledge	hylle
ledger	hovedbok
ledger	reskontro
leech	igle
leek	purre
leer	lystent blikk
left, on the left	venstre
left-handed	keivhendt
leg	etappe
leg, thigh	lår
legacy	testamentarisk gave
legal, lawful	lovlig
legality	lovlighet
legalize	legalisere
legalize, legitimate	lovliggjøre
legally	legalt
legation	legasjon
legend	legende
legend	sagn
legendary	legendarisk
leggings	gamasjer
legible	leselig
legislation	lovgivning
legislative	lovgivende
legitimate	ektefødt
legitimate	legitimere
legitimate	lovmessig
leisure	fritid
lemon	sitron
lemonrind	sitronskall
lend	låne ut
lender	utlåner
length	lengde
lengthen, extend	forlenge
lenient	skånsom
lens	objektiv
lentil, lens	linse
leper, leprous	spedalsk
leprosy	spedalskhet
lesbian	lesbisk
lesion	lesjon
less	minus
lessen	minske
lesser, less	mindre
lesson	lekse
lesson	lærepenge
lesson	undervisningstime
let	la
lethal	dødelig
letter	bokstav
letter	brev
letterbox, mailbox	postkasse
lettuce	bladsalat
level	nivå
level	plan
level	strøken
level	vannrett
lever	jekke
lever	spak
lever	vektstang
levity	lettsinn
levy	innkreve
levy, enjoin, impose	pålegge
lewd	utuktig
liabilities	passiva
liability	forpliktelse
liable	ansvarlig
liable, inclined	tilbøyelig
liaison	kjærlighetsaffære
liaison	samband
liar	løgner
libel	injurie
libel	injuriere
libel action	injuriesak
libel damages	injurieerstatning
liberal	frisinnet
liberal	liberal
liberal, freehanded	gavmild
liberation	befrielse
liberty, freedom	frihet
librarian	bibliotekar
library	bibliotek
licence	bevilling
licence	lisens
licence, levy	avgift
licentious	tøylesløs
licentious, dissipated, dissolute	utsvevende
lick	slikk
lick	slikke
licorice, liquorice	lakris
lid, cover	lokk
lie	ligge
lie	lyve
lieutenant	løytnant
lifejacket	redningsvest
lifeless	livløs
lifelike	realistisk
lifelong	livsvarig
lifetime	livstid
lift	haik
lift	løft
lift, elevator	heis
ligament	bånd
ligament	ligament
light, lighten	lyse
lighten, enlighten	opplyse
lightning	lyn
lightning rod	lynavleder
like	som
likeable	sympatisk
likelihood	sannsynlighet
likely	sannsynlig
liken	sammenligne
likeness, equality	likhet
likewise	likeledes
likewise	likeså
liking	forkjærlighet
lilac	syrin
lilac, purple	lilla
lily	lilje
limb	lem
lime	kalk
lime	limettsitron
limit, confine	begrense
limit, frontier, boundary	grense
limitation	begrensning
limp	halte
limp	halting
linden, lime	lind
line	bransje
line	linje
line	linjere
line	snor
line	strek
line, fringe	kante
linen cloth	lærret
linen goods	hvitevarer
liner	rutebåt
liner	rutefly
linger	somle
lingerie	dameundertøy
lingering	dvelende
lingering	langvarig
lingual	tunge-
linguistic	språklig
liniment	salve
link, fetter	lenke
link, joint	ledd
linked	sammenkoblet
linseed	linfrø
lion	løve
lip	leppe
liposuction, fatsuction	fettsuging
lipstick	leppestift
liquefied	kondensert
liqueur	likør
liquidate	avvikle
liquidate	likvidere
liquidity	likviditet
lisp	lespe
list	liste
list	listeføre
list	slagside
list, inventory	fortegnelse
listen	lytte
listener	tilhører
listless	giddeløs
literacy	leseferdighet
literacy	skriveferdighet
literal	bokstavelig
literal	ordrett
literary	litterær
literature	litteratur
litre, liter	liter
litterbin	papirkurv
little	lite
little	litt
live	leve
livelihood, living	levebrød
liver	lever
liverpaste	leverpostei
lives, life	liv
livestock	husdyrbestand
livestock farming	kvegavl
livid	bleik
livid	gusten
living	levende
living	livsførsel
lizard	firfirsle
load	belastning
load	lade
load	laste
load, cargo, lading, freight	last
loading	lading
loading	lasting
loafer, idler	dagdriver
loam	leirjord
loan	lån
loan	utlån
loathe, loathing, detest, disgust, abhor	avsky
loathsome, disgusting	motbydelig
lob	lobbe
lobby	foajè
lobby	korridor
lobbyist	korridorpolitiker
lobe	flik
lobe	lapp
lobster	hummer
local	kommunal
local	lokal
local	stedlig
locality	beliggenhet
locality, location	sted
localize	stedfeste
localize, locate	lokalisere
locate	plassere
location	plassering
lock	hårlokk
lock	låse
lock	sluse
lock gate, floodgate	sluseport
locker	skap
locket	medaljong
locksmith	låsesmed
locomotive	bevegelses-
locomotive	lokomotiv
lodge	losje
lodge	losjere
lodger	leieboer
lofty	oppløftet
lofty, hay, loud, high, tall	høy
log	loggbok
log	tømmerstokk
logic	logikk
logical	logisk
loin	kam
loin	lend
long	lang
long	lenge
long, yearn	lengte
longing	lengselsfull
longing, yearning	lengsel
longitude	lengdegrad
longitudinal	langsgående
longitudinal	lengde-
look	mine
look	utseende
look, find	synes
loom	vevstol
loop	løkke
loop	sløyfe
loophole	smutthull
loose	løs
loose, vast, wide, extensive, spacious	vid
loosen	løsne
loot	tyvegods
loot, fleece	plyndre
lopsided	usymmetrisk
lopsided, leaning	skjev
lorry, truck	lastebil
lose	miste
lose	saktne
lose	tape
loser	taper
loss	savn
loss	tap
lot	loddtrekning
lotion	fuktighetskrem
lottery	lotteri
loud, clamorous	skrikende
lounge	dovne seg
lounge suite	sofagruppe
lounge, couch	salong
lounge, lobby	vestibyle
lounge, loiter	slentre
louse	lus
lousy	elendig
lousy	lusete
lout	slamp
lovable	elskelig
love	elske
love	elskede
love	kjæreste
love	kjærlighet
lovely	yndig
lover	elsker
lovers	elskende
lovers	elskere
